Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,249.879,µm
M Cursor Width,0,µm
R Cursor Pos,136.101,µm
R Cursor Width,0,µm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,136.101396233059 µm
R Cursor Width,0 µm
M Cursor Position,249.87871738693 µm
M Cursor Width,0 µm


Data
Lateral(µm),Height Data(nm),,
0,-0.404252443838433,,
0.0222197533401203,-0.178536010235548,,
0.0444395066802406,-0.369408139696121,,
0.0666592600203609,-0.239280892040913,,
0.0888790133604812,-0.214391499592995,,
0.111098766700601,-0.51506274390052,,
0.133318520040722,-0.504352579085305,,
0.155538273380842,-0.144664032680783,,
0.177758026720962,-0.180279098932078,,
0.199977780061083,-0.0798117656628712,,
0.222197533401203,0.0875998342272215,,
0.244417286741323,-0.0497933572340191,,
0.266637040081444,0.00959826752361437,,
0.288856793421564,0.372941472098175,,
0.311076546761684,0.345479290764694,,
0.333296300101804,0.324101729883383,,
0.355516053441925,0.28461331451675,,
0.377735806782045,0.0853907341317736,,
0.399955560122165,0.08198329854064,,
0.422175313462286,0.0854302841305383,,
0.444395066802406,0.0706252551228157,,
0.466614820142526,-0.198973791963489,,
0.488834573482646,-0.237270823438995,,
0.511054326822767,-0.119061088427077,,
0.533274080162887,-0.370867782840835,,
0.555493833503007,-0.360709220854554,,
0.577713586843128,-0.140846516484398,,
0.599933340183248,-0.242430962260508,,
0.622153093523368,-0.113297543841425,,
0.644372846863489,-0.12456017088506,,
0.666592600203609,-0.156694315216458,,
0.688812353543729,0.0706155088387401,,
0.711032106883849,0.0819566662183561,,
0.73325186022397,-0.0841885420615345,,
0.75547161356409,0.0746874357438138,,
0.77769136690421,-0.188436726782119,,
0.799911120244331,-0.283394075616278,,
0.822130873584451,-0.275605038824943,,
0.844350626924571,-0.44283238343679,,
0.866570380264691,-0.44468457374877,,
0.888790133604812,-0.354578155912936,,
0.911009886944932,-0.563519636636837,,
0.933229640285052,-0.676563883095554,,
0.955449393625173,-0.57318456980765,,
0.977669146965293,-0.587509128090131,,
0.999888900305413,-0.606706340829217,,
1.02210865364553,-0.638660479330141,,
1.04432840698565,-0.631939322191081,,
1.06654816032577,-0.429542674617349,,
1.08876791366589,-0.398282367344402,,
1.11098766700601,-0.352911192609608,,
1.13320742034614,-0.298268441271581,,
1.15542717368626,-0.228952635236485,,
1.17764692702638,-0.210595178199754,,
1.1998666803665,-0.40274087090979,,
1.22208643370662,-0.358318994655577,,
1.24430618704674,-0.406357511246403,,
1.26652594038686,-0.501618124332446,,
1.28874569372698,-0.40298484383359,,
1.3109654470671,-0.420110632777055,,
1.33318520040722,-0.662239864741234,,
1.35540495374734,-0.582408909650792,,
1.37762470708746,-0.400721262339307,,
1.39984446042758,-0.338365044926342,,
1.4220642137677,-0.282101607958346,,
1.44428396710782,-0.440545232787379,,
1.46650372044794,-0.454550851383596,,
1.48872347378806,-0.387043564068388,,
1.51094322712818,-0.593498102092263,,
1.5331629804683,-0.549045357846221,,
1.55538273380842,-0.571693586247567,,
1.57760248714854,-0.688689582114938,,
1.59982224048866,-0.709092947613014,,
1.62204199382878,-0.835921158664616,,
1.6442617471689,-0.853136439132188,,
1.66648150050902,-0.560975699214806,,
1.68870125384914,-0.792694427748296,,
1.71092100718926,-0.830989089858688,,
1.73314076052938,-0.632326471233717,,
1.7553605138695,-0.499439029241304,,
1.77758026720962,-0.41072827439146,,
1.79980002054974,-0.281944063266201,,
1.82201977388986,-0.273167648621431,,
1.84423952722998,-0.155976897174626,,
1.8664592805701,-0.293478658249325,,
1.88867903391023,-0.3463842221728,,
1.91089878725035,-0.147979260268356,,
1.93311854059047,-0.0588224792904994,,
1.95533829393059,-0.17449203274313,,
1.97755804727071,0.0177743157053319,,
1.99977780061083,0.0526807705410472,,
2.02199755395095,-0.0704538518747071,,
2.04421730729107,-0.174277399262128,,
2.06643706063119,-0.164376650296956,,
2.08865681397131,0.0400262379167332,,
2.11087656731143,-0.0782797206070642,,
2.13309632065155,-0.152413317021682,,
2.15531607399167,0.0280196966675979,,
2.17753582733179,0.113922140577182,,
2.19975558067191,0.081003849438759,,
2.22197533401203,0.12440288813894,,
2.24419508735215,0.0700948280426017,,
2.26641484069227,0.128457443999167,,
2.28863459403239,0.185445895791847,,
2.31085434737251,0.0715776399969249,,
2.33307410071263,0.206501576628249,,
2.35529385405275,0.158431449378018,,
2.37751360739287,0.11557130795058,,
2.39973336073299,0.160447695795317,,
2.42195311407311,-0.0607164029921224,,
2.44417286741323,-0.0213831804090268,,
2.46639262075335,-0.0616393964178364,,
2.48861237409347,-0.278549793943675,,
2.51083212743359,-0.303004650467192,,
2.53305188077371,-0.120550872000644,,
2.55527163411383,-0.26055903408495,,
2.57749138745395,-0.320438349696378,,
2.59971114079407,-0.276060501653518,,
2.6219308941342,-0.273749282556989,,
2.64415064747432,-0.195454144588697,,
2.66637040081444,-0.0503786130695921,,
2.68859015415456,-0.0415687358021931,,
2.71080990749468,0.0132786024469598,,
2.7330296608348,0.187217616727292,,
2.75524941417492,0.230584314083069,,
2.77746916751504,0.203277954958532,,
2.79968892085516,0.408007932141471,,
2.82190867419528,0.489040531833511,,
2.8441284275354,0.440165526785879,,
2.86634818087552,0.381999769454068,,
2.88856793421564,0.267418884638896,,
2.91078768755576,0.168325829783095,,
2.93300744089588,0.172482592586607,,
2.955227194236,0.0488275494118351,,
2.97744694757612,-0.155560578493505,,
2.99966670091624,-0.171125642649636,,
3.02188645425636,-0.288928140424231,,
