Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,190.993,µm
M Cursor Width,0,µm
R Cursor Pos,113.788,µm
R Cursor Width,0,µm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,113.788225958295 µm
R Cursor Width,0 µm
M Cursor Position,190.993408595694 µm
M Cursor Width,2.8421709430404E-14 µm


Data
Lateral(µm),Height Data(nm),,
0,-8.48292942150673,,
0.0222197533401203,-8.6190855628731,,
0.0444395066802406,-8.50419675068763,,
0.0666592600203609,-8.55536654163932,,
0.0888790133604812,-8.28993679736419,,
0.111098766700601,-8.42204886289227,,
0.133318520040722,-8.53137836470279,,
0.155538273380842,-8.47045707389139,,
0.177758026720962,-8.1808066132074,,
0.199977780061083,-8.38926365987994,,
0.222197533401203,-8.77636882680464,,
0.244417286741323,-8.65033662634225,,
0.266637040081444,-8.60613507718923,,
0.288856793421564,-8.71492548817532,,
0.311076546761684,-8.78269765842772,,
0.333296300101804,-8.91330094641267,,
0.355516053441925,-8.92965469635847,,
0.377735806782045,-9.09881764300541,,
0.399955560122165,-9.24659918530246,,
0.422175313462286,-9.20034914707943,,
0.444395066802406,-9.17824716437167,,
0.466614820142526,-9.52796781741903,,
0.488834573482646,-9.53198071030059,,
0.511054326822767,-9.47502057680354,,
0.533274080162887,-9.44136491169828,,
0.555493833503007,-9.53030334865696,,
0.577713586843128,-9.64945942173538,,
0.599933340183248,-9.5446322292234,,
0.622153093523368,-9.33812361890518,,
0.644372846863489,-9.54500964279565,,
0.666592600203609,-9.57771599697445,,
0.688812353543729,-9.36555777023639,,
0.711032106883849,-9.29972614878464,,
0.73325186022397,-9.37360437096117,,
0.75547161356409,-9.30801577029966,,
0.77769136690421,-9.60164603650451,,
0.799911120244331,-9.50949395009046,,
0.822130873584451,-9.4669944741652,,
0.844350626924571,-9.48927954589996,,
0.866570380264691,-9.18958021582746,,
0.888790133604812,-9.13469901508148,,
0.911009886944932,-9.23981747315068,,
0.933229640285052,-9.31944235580714,,
0.955449393625173,-9.12952746736795,,
0.977669146965293,-9.19417525507819,,
0.999888900305413,-9.21591874066452,,
1.02210865364553,-9.12657192420889,,
1.04432840698565,-9.2141997986826,,
1.06654816032577,-9.08993685742048,,
1.08876791366589,-8.96803465206099,,
1.11098766700601,-9.01935942783322,,
1.13320742034614,-8.80216770784855,,
1.15542717368626,-8.59587904217644,,
1.17764692702638,-8.83875855780687,,
1.1998666803665,-8.73954267816464,,
1.22208643370662,-8.55111619475448,,
