DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
-583.4038E-12,-3.5000E+0,3.6828E-12,-10.0000E+0,5.0442E-12,000.0000E-3,-609.8762E-12,-3.5000E+0,5.6753E-12,-10.0000E+0,18.1650E-12,-1.0000E+0,-638.8738E-12,-3.5000E+0,6.7351E-12,-10.0000E+0,7.9039E-12,-2.0000E+0,-679.7819E-12,-3.5000E+0,7.3286E-12,-10.0000E+0,13.2026E-12,-3.0000E+0,-753.6858E-12,-3.5000E+0,10.0841E-12,-10.0000E+0,7.9459E-12,-4.0000E+0,-795.3094E-12,-3.5000E+0,7.7525E-12,-10.0000E+0,9.9645E-12,-5.0000E+0,-848.1700E-12,-3.5000E+0,7.1166E-12,-10.0000E+0,9.6281E-12,-6.0000E+0
-649.0588E-12,-3.5500E+0,6.6504E-12,-10.0000E+0,12.9503E-12,000.0000E-3,-674.1002E-12,-3.5500E+0,6.7351E-12,-10.0000E+0,24.7674E-12,-1.0000E+0,-713.4090E-12,-3.5500E+0,6.7775E-12,-10.0000E+0,12.6559E-12,-2.0000E+0,-769.3841E-12,-3.5500E+0,7.6254E-12,-10.0000E+0,17.9547E-12,-3.0000E+0,-847.5387E-12,-3.5500E+0,6.7775E-12,-10.0000E+0,5.2965E-12,-4.0000E+0,-912.7728E-12,-3.5500E+0,8.9819E-12,-10.0000E+0,8.1983E-12,-5.0000E+0,-967.8639E-12,-3.5500E+0,9.0667E-12,-10.0000E+0,9.6281E-12,-6.0000E+0
-729.4439E-12,-3.6000E+0,5.2514E-12,-10.0000E+0,17.8285E-12,000.0000E-3,-748.9721E-12,-3.6000E+0,7.2015E-12,-10.0000E+0,20.9826E-12,-1.0000E+0,-801.3277E-12,-3.6000E+0,5.7177E-12,-10.0000E+0,11.0159E-12,-2.0000E+0,-872.0331E-12,-3.6000E+0,7.6254E-12,-10.0000E+0,7.9039E-12,-3.0000E+0,-962.7293E-12,-3.6000E+0,8.0493E-12,-10.0000E+0,6.3479E-12,-4.0000E+0,-1.0423E-9,-3.6000E+0,10.1689E-12,-10.0000E+0,9.5440E-12,-5.0000E+0,-1.1040E-9,-3.6000E+0,8.6852E-12,-10.0000E+0,13.8334E-12,-6.0000E+0
-814.7954E-12,-3.6500E+0,6.0568E-12,-10.0000E+0,21.5713E-12,000.0000E-3,-834.5761E-12,-3.6500E+0,5.5057E-12,-10.0000E+0,18.1229E-12,-1.0000E+0,-903.0508E-12,-3.6500E+0,4.5731E-12,-10.0000E+0,10.2168E-12,-2.0000E+0,-996.9037E-12,-3.6500E+0,7.3286E-12,-10.0000E+0,9.0814E-12,-3.0000E+0,-1.1090E-9,-3.6500E+0,8.8971E-12,-10.0000E+0,5.5909E-12,-4.0000E+0,-1.1878E-9,-3.6500E+0,8.5156E-12,-10.0000E+0,15.2212E-12,-5.0000E+0,-1.2585E-9,-3.6500E+0,8.7276E-12,-10.0000E+0,8.2403E-12,-6.0000E+0
-908.0169E-12,-3.7000E+0,6.0568E-12,-10.0000E+0,14.5484E-12,000.0000E-3,-941.3074E-12,-3.7000E+0,7.0319E-12,-10.0000E+0,20.7302E-12,-1.0000E+0,-1.0223E-9,-3.7000E+0,8.3036E-12,-10.0000E+0,6.6002E-12,-2.0000E+0,-1.1388E-9,-3.7000E+0,8.1341E-12,-10.0000E+0,7.9039E-12,-3.0000E+0,-1.2694E-9,-3.7000E+0,5.9297E-12,-10.0000E+0,5.9694E-12,-4.0000E+0,-1.3727E-9,-3.7000E+0,11.5255E-12,-10.0000E+0,13.7073E-12,-5.0000E+0,-1.4625E-9,-3.7000E+0,8.1341E-12,-10.0000E+0,11.5626E-12,-6.0000E+0
-1.0224E-9,-3.7500E+0,6.5232E-12,-10.0000E+0,16.1043E-12,000.0000E-3,-1.0540E-9,-3.7500E+0,7.4558E-12,-10.0000E+0,17.2398E-12,-1.0000E+0,-1.1790E-9,-3.7500E+0,5.7177E-12,-10.0000E+0,2.2687E-12,-2.0000E+0,-1.3134E-9,-3.7500E+0,7.6254E-12,-10.0000E+0,6.5582E-12,-3.0000E+0,-1.4534E-9,-3.7500E+0,8.0493E-12,-10.0000E+0,5.3807E-12,-4.0000E+0,-1.5804E-9,-3.7500E+0,9.8298E-12,-10.0000E+0,9.8383E-12,-5.0000E+0,-1.6706E-9,-3.7500E+0,9.4906E-12,-10.0000E+0,14.4222E-12,-6.0000E+0
-1.1477E-9,-3.8000E+0,4.2340E-12,-10.0000E+0,12.4036E-12,000.0000E-3,-1.2008E-9,-3.8000E+0,4.9122E-12,-10.0000E+0,15.8520E-12,-1.0000E+0,-1.3470E-9,-3.8000E+0,7.0742E-12,-10.0000E+0,7.0208E-12,-2.0000E+0,-1.5104E-9,-3.8000E+0,7.8797E-12,-10.0000E+0,11.3523E-12,-3.0000E+0,-1.6767E-9,-3.8000E+0,9.6602E-12,-10.0000E+0,13.2867E-12,-4.0000E+0,-1.8208E-9,-3.8000E+0,8.3461E-12,-10.0000E+0,12.9083E-12,-5.0000E+0,-1.9361E-9,-3.8000E+0,5.5057E-12,-10.0000E+0,21.0667E-12,-6.0000E+0
-1.2942E-9,-3.8500E+0,6.1841E-12,-10.0000E+0,9.5440E-12,000.0000E-3,-1.3750E-9,-3.8500E+0,6.3112E-12,-10.0000E+0,11.4784E-12,-1.0000E+0,-1.5629E-9,-3.8500E+0,7.5406E-12,-10.0000E+0,14.2119E-12,-2.0000E+0,-1.7538E-9,-3.8500E+0,7.6254E-12,-10.0000E+0,9.5440E-12,-3.0000E+0,-1.9448E-9,-3.8500E+0,7.0742E-12,-10.0000E+0,6.9366E-12,-4.0000E+0,-2.1092E-9,-3.8500E+0,10.4233E-12,-10.0000E+0,6.6002E-12,-5.0000E+0,-2.2352E-9,-3.8500E+0,8.6428E-12,-10.0000E+0,17.6183E-12,-6.0000E+0
-1.4684E-9,-3.9000E+0,7.4134E-12,-10.0000E+0,10.1327E-12,000.0000E-3,-1.5764E-9,-3.9000E+0,4.9122E-12,-10.0000E+0,11.1000E-12,-1.0000E+0,-1.7976E-9,-3.9000E+0,5.5481E-12,-10.0000E+0,10.0486E-12,-2.0000E+0,-2.0320E-9,-3.9000E+0,7.3286E-12,-10.0000E+0,4.3293E-12,-3.0000E+0,-2.2623E-9,-3.9000E+0,8.1765E-12,-10.0000E+0,13.8334E-12,-4.0000E+0,-2.4459E-9,-3.9000E+0,9.5755E-12,-10.0000E+0,12.1934E-12,-5.0000E+0,-2.5805E-9,-3.9000E+0,9.2786E-12,-10.0000E+0,17.3239E-12,-6.0000E+0
-1.6709E-9,-3.9500E+0,4.1916E-12,-10.0000E+0,9.5019E-12,000.0000E-3,-1.8224E-9,-3.9500E+0,5.3362E-12,-10.0000E+0,13.9176E-12,-1.0000E+0,-2.0913E-9,-3.9500E+0,5.5905E-12,-10.0000E+0,5.8012E-12,-2.0000E+0,-2.3733E-9,-3.9500E+0,7.9645E-12,-10.0000E+0,5.2545E-12,-3.0000E+0,-2.6221E-9,-3.9500E+0,8.0493E-12,-10.0000E+0,1.2594E-12,-4.0000E+0,-2.8534E-9,-3.9500E+0,7.7525E-12,-10.0000E+0,11.9410E-12,-5.0000E+0,-3.0182E-9,-3.9500E+0,7.1166E-12,-10.0000E+0,13.7493E-12,-6.0000E+0
-1.9153E-9,-4.0000E+0,6.6079E-12,-10.0000E+0,8.8291E-12,000.0000E-3,-2.1114E-9,-4.0000E+0,8.2188E-12,-10.0000E+0,15.8941E-12,-1.0000E+0,-2.4355E-9,-4.0000E+0,6.3536E-12,-10.0000E+0,14.2540E-12,-2.0000E+0,-2.7607E-9,-4.0000E+0,8.7700E-12,-10.0000E+0,4.5396E-12,-3.0000E+0,-3.0622E-9,-4.0000E+0,8.5156E-12,-10.0000E+0,628.6499E-15,-4.0000E+0,-3.3138E-9,-4.0000E+0,9.5755E-12,-10.0000E+0,12.4036E-12,-5.0000E+0,-3.5262E-9,-4.0000E+0,9.3635E-12,-10.0000E+0,14.9689E-12,-6.0000E+0
