DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4)
-21.9697E-12,-500.0000E-3,-1.2346E-12,-7.0000E+0,-11.5668E-12,-10.0000E+0,-25.2104E-12,-1.0000E+0,12.0766E-12,-7.0000E+0,-159.8253E-12,-10.0000E+0,-44.1072E-12,-1.5000E+0,15.9343E-12,-7.0000E+0,-195.5709E-12,-10.0000E+0,-75.8405E-12,-2.0000E+0,11.7799E-12,-7.0000E+0,-93.3806E-12,-10.0000E+0
-20.9597E-12,-500.0000E-3,-471.5672E-15,-7.0000E+0,-7.5718E-12,-9.9240E+0,-26.5993E-12,-1.0000E+0,10.8896E-12,-7.0000E+0,-11.9874E-12,-9.9240E+0,-50.1256E-12,-1.5000E+0,12.8820E-12,-7.0000E+0,-11.6510E-12,-9.9240E+0,-72.0948E-12,-2.0000E+0,8.9819E-12,-7.0000E+0,-12.7864E-12,-9.9240E+0
-21.8435E-12,-500.0000E-3,121.9580E-15,-7.0000E+0,-12.3238E-12,-9.8480E+0,-27.7777E-12,-1.0000E+0,11.3135E-12,-7.0000E+0,-2.3571E-12,-9.8480E+0,-47.3479E-12,-1.5000E+0,12.8820E-12,-7.0000E+0,-15.0152E-12,-9.8480E+0,-74.4095E-12,-2.0000E+0,10.5080E-12,-7.0000E+0,-6.1419E-12,-9.8480E+0
-21.1701E-12,-500.0000E-3,757.8382E-15,-7.0000E+0,-6.2260E-12,-9.7715E+0,-35.6899E-12,-1.0000E+0,10.5505E-12,-7.0000E+0,-3.9131E-12,-9.7715E+0,-46.0853E-12,-1.5000E+0,12.8820E-12,-7.0000E+0,-14.0480E-12,-9.7715E+0,-73.6099E-12,-2.0000E+0,11.5255E-12,-7.0000E+0,-7.1092E-12,-9.7715E+0
-17.0877E-12,-500.0000E-3,2.5807E-12,-7.0000E+0,-5.2168E-12,-9.6955E+0,-30.0924E-12,-1.0000E+0,10.6776E-12,-7.0000E+0,-1.0534E-12,-9.6955E+0,-47.9792E-12,-1.5000E+0,12.5853E-12,-7.0000E+0,-9.4221E-12,-9.6955E+0,-79.3336E-12,-2.0000E+0,8.8548E-12,-7.0000E+0,-6.8148E-12,-9.6955E+0
-23.0219E-12,-500.0000E-3,1.3088E-12,-7.0000E+0,-44.2007E-15,-9.6195E+0,-31.2288E-12,-1.0000E+0,10.3809E-12,-7.0000E+0,-3.3664E-12,-9.6195E+0,-50.8832E-12,-1.5000E+0,12.9244E-12,-7.0000E+0,-11.6089E-12,-9.6195E+0,-83.1635E-12,-2.0000E+0,9.7026E-12,-7.0000E+0,-10.0109E-12,-9.6195E+0
-21.7172E-12,-500.0000E-3,1.9448E-12,-7.0000E+0,-5.8476E-12,-9.5435E+0,-24.5791E-12,-1.0000E+0,8.8123E-12,-7.0000E+0,-12.1556E-12,-9.5435E+0,-48.8209E-12,-1.5000E+0,13.9843E-12,-7.0000E+0,-8.0343E-12,-9.5435E+0,-79.5862E-12,-2.0000E+0,11.2711E-12,-7.0000E+0,-5.0906E-12,-9.5435E+0
-21.5068E-12,-500.0000E-3,4.1068E-12,-7.0000E+0,-7.8661E-12,-9.4675E+0,-25.2104E-12,-1.0000E+0,9.9146E-12,-7.0000E+0,-8.4549E-12,-9.4675E+0,-40.9087E-12,-1.5000E+0,12.4581E-12,-7.0000E+0,-3.8710E-12,-9.4675E+0,-74.2412E-12,-2.0000E+0,9.1939E-12,-7.0000E+0,-4.6700E-12,-9.4675E+0
-23.3586E-12,-500.0000E-3,4.1068E-12,-7.0000E+0,-3.9551E-12,-9.3915E+0,-28.1144E-12,-1.0000E+0,10.8472E-12,-7.0000E+0,-3.5767E-12,-9.3915E+0,-41.4558E-12,-1.5000E+0,12.1614E-12,-7.0000E+0,-7.9502E-12,-9.3915E+0,-75.7142E-12,-2.0000E+0,10.2961E-12,-7.0000E+0,-5.5111E-12,-9.3915E+0
-22.7694E-12,-500.0000E-3,2.4111E-12,-7.0000E+0,-5.5532E-12,-9.3150E+0,-23.6532E-12,-1.0000E+0,8.8548E-12,-7.0000E+0,-3.6608E-12,-9.3150E+0,-41.9187E-12,-1.5000E+0,11.9494E-12,-7.0000E+0,-3.7028E-12,-9.3150E+0,-81.8168E-12,-2.0000E+0,11.6950E-12,-7.0000E+0,-4.7962E-12,-9.3150E+0
