DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4)
-25.0841E-12,-500.0000E-3,8.3885E-12,-7.0000E+0,-1.7684E-12,-5.1305E+0,-48.2317E-12,-1.0000E+0,10.2961E-12,-7.0000E+0,-2.1048E-12,-5.1305E+0,-85.9833E-12,-1.5000E+0,9.5755E-12,-7.0000E+0,-5.5111E-12,-5.1305E+0,-171.4190E-12,-2.0000E+0,11.1439E-12,-7.0000E+0,712.7771E-15,-5.1305E+0
-18.2661E-12,-500.0000E-3,7.8797E-12,-7.0000E+0,2.8575E-12,-5.0545E+0,-39.8144E-12,-1.0000E+0,11.7375E-12,-7.0000E+0,-1.2637E-12,-5.0545E+0,-85.9412E-12,-1.5000E+0,11.1863E-12,-7.0000E+0,-5.3008E-12,-5.0545E+0,-169.3988E-12,-2.0000E+0,11.3135E-12,-7.0000E+0,1.5538E-12,-5.0545E+0
-24.7053E-12,-500.0000E-3,9.0667E-12,-7.0000E+0,3.0257E-12,-4.9785E+0,-40.3615E-12,-1.0000E+0,9.8298E-12,-7.0000E+0,-2.5674E-12,-4.9785E+0,-82.7847E-12,-1.5000E+0,10.5929E-12,-7.0000E+0,-8.4549E-12,-4.9785E+0,-177.6057E-12,-2.0000E+0,8.4732E-12,-7.0000E+0,3.1939E-12,-4.9785E+0
-30.3449E-12,-500.0000E-3,7.6678E-12,-7.0000E+0,5.5068E-12,-4.9020E+0,-50.6727E-12,-1.0000E+0,10.5505E-12,-7.0000E+0,-6.0999E-12,-4.9020E+0,-80.9329E-12,-1.5000E+0,9.7874E-12,-7.0000E+0,-8.9175E-12,-4.9020E+0,-176.8060E-12,-2.0000E+0,8.2188E-12,-7.0000E+0,3.2780E-12,-4.9020E+0
-25.2104E-12,-500.0000E-3,7.6678E-12,-7.0000E+0,3.7826E-12,-4.8260E+0,-46.8429E-12,-1.0000E+0,11.3135E-12,-7.0000E+0,1.2174E-12,-4.8260E+0,-80.8908E-12,-1.5000E+0,10.4656E-12,-7.0000E+0,-3.9972E-12,-4.8260E+0,-186.8226E-12,-2.0000E+0,11.1863E-12,-7.0000E+0,250.1749E-15,-4.8260E+0
-28.9140E-12,-500.0000E-3,8.3885E-12,-7.0000E+0,6.1376E-12,-4.7500E+0,-53.0717E-12,-1.0000E+0,9.8722E-12,-7.0000E+0,-548.8388E-15,-4.7500E+0,-84.7628E-12,-1.5000E+0,9.3635E-12,-7.0000E+0,-7.9502E-12,-4.7500E+0,-188.8007E-12,-2.0000E+0,10.2113E-12,-7.0000E+0,-4.7121E-12,-4.7500E+0
-32.9543E-12,-500.0000E-3,7.4558E-12,-7.0000E+0,3.7826E-12,-4.6740E+0,-45.2015E-12,-1.0000E+0,10.8896E-12,-7.0000E+0,670.6996E-15,-4.6740E+0,-85.2678E-12,-1.5000E+0,9.6602E-12,-7.0000E+0,-10.7678E-12,-4.6740E+0,-188.0852E-12,-2.0000E+0,9.4906E-12,-7.0000E+0,2.7313E-12,-4.6740E+0
-36.3212E-12,-500.0000E-3,8.5580E-12,-7.0000E+0,1.7220E-12,-4.5980E+0,-48.8209E-12,-1.0000E+0,10.0841E-12,-7.0000E+0,-1.5160E-12,-4.5980E+0,-85.3941E-12,-1.5000E+0,10.5080E-12,-7.0000E+0,-7.4876E-12,-4.5980E+0,-193.5144E-12,-2.0000E+0,11.6527E-12,-7.0000E+0,3.5303E-12,-4.5980E+0
-32.0705E-12,-500.0000E-3,8.4732E-12,-7.0000E+0,-2.7356E-12,-4.5215E+0,-47.6846E-12,-1.0000E+0,9.3210E-12,-7.0000E+0,-4.4177E-12,-4.5215E+0,-87.4563E-12,-1.5000E+0,8.8971E-12,-7.0000E+0,-4.1654E-12,-4.5215E+0,-189.2216E-12,-2.0000E+0,9.3635E-12,-7.0000E+0,5.1704E-12,-4.5215E+0
-39.6040E-12,-500.0000E-3,8.3036E-12,-7.0000E+0,250.1749E-15,-4.4455E+0,-54.9656E-12,-1.0000E+0,11.6527E-12,-7.0000E+0,2.3107E-12,-4.4455E+0,-92.0438E-12,-1.5000E+0,9.6178E-12,-7.0000E+0,-5.7214E-12,-4.4455E+0,-196.7130E-12,-2.0000E+0,10.8472E-12,-7.0000E+0,4.3714E-12,-4.4455E+0
-30.4712E-12,-500.0000E-3,8.3036E-12,-7.0000E+0,2.2266E-12,-4.3695E+0,-52.5666E-12,-1.0000E+0,10.0418E-12,-7.0000E+0,-759.1011E-15,-4.3695E+0,-89.6027E-12,-1.5000E+0,9.1939E-12,-7.0000E+0,-7.1512E-12,-4.3695E+0,-197.1338E-12,-2.0000E+0,11.0592E-12,-7.0000E+0,3.0257E-12,-4.3695E+0
-32.3651E-12,-500.0000E-3,7.3710E-12,-7.0000E+0,-885.2780E-15,-4.2935E+0,-58.6692E-12,-1.0000E+0,9.7026E-12,-7.0000E+0,-1.3899E-12,-4.2935E+0,-97.3046E-12,-1.5000E+0,9.7026E-12,-7.0000E+0,-4.1234E-12,-4.2935E+0,-201.3845E-12,-2.0000E+0,10.0841E-12,-7.0000E+0,6.1376E-12,-4.2935E+0
-24.7053E-12,-500.0000E-3,9.0243E-12,-7.0000E+0,1.9743E-12,-4.2175E+0,-53.7030E-12,-1.0000E+0,9.9146E-12,-7.0000E+0,-6.7727E-12,-4.2175E+0,-98.1463E-12,-1.5000E+0,8.6428E-12,-7.0000E+0,-4.8803E-12,-4.2175E+0,-207.4029E-12,-2.0000E+0,10.2537E-12,-7.0000E+0,5.3807E-12,-4.2175E+0
-34.4694E-12,-500.0000E-3,8.6428E-12,-7.0000E+0,8.2824E-12,-4.1415E+0,-50.5886E-12,-1.0000E+0,10.8048E-12,-7.0000E+0,2.5210E-12,-4.1415E+0,-96.9679E-12,-1.5000E+0,10.5080E-12,-7.0000E+0,-2.9459E-12,-4.1415E+0,-212.0324E-12,-2.0000E+0,11.4830E-12,-7.0000E+0,923.0394E-15,-4.1415E+0
-34.0906E-12,-500.0000E-3,9.6602E-12,-7.0000E+0,7.3572E-12,-4.0650E+0,-53.1979E-12,-1.0000E+0,9.7450E-12,-7.0000E+0,-2.3571E-12,-4.0650E+0,-100.5874E-12,-1.5000E+0,10.0841E-12,-7.0000E+0,-1.6001E-12,-4.0650E+0,-205.8457E-12,-2.0000E+0,9.1515E-12,-7.0000E+0,502.4869E-15,-4.0650E+0
-33.0385E-12,-500.0000E-3,9.2363E-12,-7.0000E+0,7.6095E-12,-3.9890E+0,-52.1037E-12,-1.0000E+0,11.1863E-12,-7.0000E+0,-2.7776E-12,-3.9890E+0,-97.9780E-12,-1.5000E+0,9.4483E-12,-7.0000E+0,-885.2780E-15,-3.9890E+0,-216.8724E-12,-2.0000E+0,10.2961E-12,-7.0000E+0,418.3875E-15,-3.9890E+0
-30.2608E-12,-500.0000E-3,8.8123E-12,-7.0000E+0,1.8482E-12,-3.9130E+0,-52.6929E-12,-1.0000E+0,10.0418E-12,-7.0000E+0,-3.3243E-12,-3.9130E+0,-95.0319E-12,-1.5000E+0,9.9569E-12,-7.0000E+0,965.0891E-15,-3.9130E+0,-213.5055E-12,-2.0000E+0,10.1689E-12,-7.0000E+0,2.4790E-12,-3.9130E+0
-36.1950E-12,-500.0000E-3,8.6852E-12,-7.0000E+0,2.9416E-12,-3.8370E+0,-51.7249E-12,-1.0000E+0,8.6852E-12,-7.0000E+0,-2.9459E-12,-3.8370E+0,-96.2945E-12,-1.5000E+0,9.2786E-12,-7.0000E+0,-5.4691E-12,-3.8370E+0,-216.4094E-12,-2.0000E+0,8.9819E-12,-7.0000E+0,1.0071E-12,-3.8370E+0
-27.9881E-12,-500.0000E-3,8.7276E-12,-7.0000E+0,5.3807E-12,-3.7610E+0,-53.1558E-12,-1.0000E+0,11.3983E-12,-7.0000E+0,-8.2446E-12,-3.7610E+0,-97.6834E-12,-1.5000E+0,10.1265E-12,-7.0000E+0,-6.0158E-12,-3.7610E+0,-219.3976E-12,-2.0000E+0,12.1614E-12,-7.0000E+0,6.3059E-12,-3.7610E+0
-32.7439E-12,-500.0000E-3,8.1341E-12,-7.0000E+0,1.8902E-12,-3.6850E+0,-51.1778E-12,-1.0000E+0,10.5929E-12,-7.0000E+0,-13.1649E-12,-3.6850E+0,-94.6110E-12,-1.5000E+0,9.2363E-12,-7.0000E+0,-5.6373E-12,-3.6850E+0,-223.7325E-12,-2.0000E+0,10.2113E-12,-7.0000E+0,4.8340E-12,-3.6850E+0
-26.6834E-12,-500.0000E-3,9.7450E-12,-7.0000E+0,3.2359E-12,-3.6085E+0,-53.3663E-12,-1.0000E+0,8.3036E-12,-7.0000E+0,-9.4642E-12,-3.6085E+0,-98.1042E-12,-1.5000E+0,7.9645E-12,-7.0000E+0,-1.8104E-12,-3.6085E+0,-228.6145E-12,-2.0000E+0,9.1091E-12,-7.0000E+0,1.5117E-12,-3.6085E+0
-19.6129E-12,-500.0000E-3,8.8123E-12,-7.0000E+0,4.7078E-12,-3.5325E+0,-54.8393E-12,-1.0000E+0,10.7200E-12,-7.0000E+0,-11.8192E-12,-3.5325E+0,-100.8820E-12,-1.5000E+0,8.8123E-12,-7.0000E+0,-5.1326E-12,-3.5325E+0,-223.3958E-12,-2.0000E+0,11.1016E-12,-7.0000E+0,502.4869E-15,-3.5325E+0
-26.2626E-12,-500.0000E-3,9.0667E-12,-7.0000E+0,1.6799E-12,-3.4565E+0,-58.4587E-12,-1.0000E+0,10.2113E-12,-7.0000E+0,-10.7258E-12,-3.4565E+0,-103.3651E-12,-1.5000E+0,9.4906E-12,-7.0000E+0,-1.8525E-12,-3.4565E+0,-229.4983E-12,-2.0000E+0,11.2288E-12,-7.0000E+0,3.2780E-12,-3.4565E+0
-29.5032E-12,-500.0000E-3,8.6852E-12,-7.0000E+0,-1.7684E-12,-3.3805E+0,-55.1760E-12,-1.0000E+0,10.2113E-12,-7.0000E+0,-3.0720E-12,-3.3805E+0,-101.3028E-12,-1.5000E+0,6.9471E-12,-7.0000E+0,3.4041E-12,-3.3805E+0,-230.8451E-12,-2.0000E+0,9.6178E-12,-7.0000E+0,-1.1796E-12,-3.3805E+0
-29.1665E-12,-500.0000E-3,9.8298E-12,-7.0000E+0,-1.4319E-12,-3.3045E+0,-56.9436E-12,-1.0000E+0,10.6352E-12,-7.0000E+0,-5.5532E-12,-3.3045E+0,-105.2169E-12,-1.5000E+0,8.5156E-12,-7.0000E+0,628.6499E-15,-3.3045E+0,-237.6631E-12,-2.0000E+0,8.2612E-12,-7.0000E+0,-969.3912E-15,-3.3045E+0
-29.3770E-12,-500.0000E-3,7.6254E-12,-7.0000E+0,502.4869E-15,-3.2285E+0,-51.9774E-12,-1.0000E+0,9.2363E-12,-7.0000E+0,-7.1092E-12,-3.2285E+0,-105.2169E-12,-1.5000E+0,9.1091E-12,-7.0000E+0,8.4506E-12,-3.2285E+0,-234.2541E-12,-2.0000E+0,8.8971E-12,-7.0000E+0,7.9880E-12,-3.2285E+0
-32.7018E-12,-500.0000E-3,8.8971E-12,-7.0000E+0,-6.0999E-12,-3.1520E+0,-56.5648E-12,-1.0000E+0,10.8472E-12,-7.0000E+0,-6.8148E-12,-3.1520E+0,-108.1630E-12,-1.5000E+0,6.2688E-12,-7.0000E+0,10.1327E-12,-3.1520E+0,-237.6631E-12,-2.0000E+0,9.5755E-12,-7.0000E+0,6.3059E-12,-3.1520E+0
-28.5352E-12,-500.0000E-3,8.2188E-12,-7.0000E+0,628.6499E-15,-3.0760E+0,-62.7095E-12,-1.0000E+0,11.2288E-12,-7.0000E+0,-4.6280E-12,-3.0760E+0,-104.8381E-12,-1.5000E+0,9.9146E-12,-7.0000E+0,4.5816E-12,-3.0760E+0,-241.9980E-12,-2.0000E+0,9.3210E-12,-7.0000E+0,7.9459E-12,-3.0760E+0
-30.0924E-12,-500.0000E-3,8.7276E-12,-7.0000E+0,-4.5018E-12,-3.0000E+0,-59.5530E-12,-1.0000E+0,9.9569E-12,-7.0000E+0,-548.8388E-15,-3.0000E+0,-105.6798E-12,-1.5000E+0,9.1091E-12,-7.0000E+0,2.1846E-12,-3.0000E+0,-240.5671E-12,-2.0000E+0,9.8722E-12,-7.0000E+0,7.3992E-12,-3.0000E+0
