DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
11.4945E-9,1.0000E+0,15.7197E-12,1.0000E+0,8.3654E-12,-3.0000E+0,21.5131E-9,1.0000E+0,12.8794E-12,1.0000E+0,3.6974E-12,-2.5000E+0,35.9325E-9,1.0000E+0,15.5502E-12,1.0000E+0,1.6788E-12,-2.0000E+0,56.0514E-9,1.0000E+0,14.2784E-12,1.0000E+0,8.5757E-12,-1.5000E+0,82.6052E-9,1.0000E+0,12.3283E-12,1.0000E+0,6.9356E-12,-1.0000E+0,113.4415E-9,1.0000E+0,11.8620E-12,1.0000E+0,1.4265E-12,-500.0000E-3,142.5283E-9,1.0000E+0,14.1088E-12,1.0000E+0,11.8979E-12,000.0000E-3
11.6572E-9,1.0500E+0,14.7447E-12,1.0000E+0,2.8563E-12,-3.0000E+0,21.9195E-9,1.0500E+0,14.0664E-12,1.0000E+0,4.6226E-12,-2.5000E+0,36.6130E-9,1.0500E+0,13.6001E-12,1.0000E+0,5.0011E-12,-2.0000E+0,57.1775E-9,1.0500E+0,14.3632E-12,1.0000E+0,8.9541E-12,-1.5000E+0,84.2456E-9,1.0500E+0,11.6500E-12,1.0000E+0,5.4637E-12,-1.0000E+0,115.5610E-9,1.0500E+0,11.8196E-12,1.0000E+0,2.6881E-12,-500.0000E-3,144.8663E-9,1.0500E+0,14.1512E-12,1.0000E+0,2.6461E-12,000.0000E-3
11.7940E-9,1.1000E+0,16.9067E-12,1.0000E+0,5.0011E-12,-3.0000E+0,22.2839E-9,1.1000E+0,15.0838E-12,1.0000E+0,1.0480E-12,-2.5000E+0,37.2820E-9,1.1000E+0,14.1512E-12,1.0000E+0,2.7302E-12,-2.0000E+0,58.2639E-9,1.1000E+0,13.6849E-12,1.0000E+0,6.1786E-12,-1.5000E+0,85.7999E-9,1.1000E+0,14.0240E-12,1.0000E+0,6.8935E-12,-1.0000E+0,117.6697E-9,1.1000E+0,11.7772E-12,1.0000E+0,2.2255E-12,-500.0000E-3,147.1334E-9,1.1000E+0,11.5653E-12,1.0000E+0,2.5620E-12,000.0000E-3
11.9303E-9,1.1500E+0,13.8544E-12,1.0000E+0,1.0901E-12,-3.0000E+0,22.6547E-9,1.1500E+0,12.5827E-12,1.0000E+0,6.5571E-12,-2.5000E+0,37.9325E-9,1.1500E+0,15.3382E-12,1.0000E+0,837.8020E-15,-2.0000E+0,59.2711E-9,1.1500E+0,15.5078E-12,1.0000E+0,4.4123E-12,-1.5000E+0,87.1989E-9,1.1500E+0,12.7946E-12,1.0000E+0,7.3140E-12,-1.0000E+0,119.5224E-9,1.1500E+0,14.8719E-12,1.0000E+0,12.6549E-12,-500.0000E-3,149.2898E-9,1.1500E+0,13.8968E-12,1.0000E+0,4.9170E-12,000.0000E-3
12.0506E-9,1.2000E+0,13.3457E-12,1.0000E+0,753.7027E-15,-3.0000E+0,22.9674E-9,1.2000E+0,13.3457E-12,1.0000E+0,3.7815E-12,-2.5000E+0,38.5391E-9,1.2000E+0,13.0066E-12,1.0000E+0,6.0104E-12,-2.0000E+0,60.2380E-9,1.2000E+0,14.0240E-12,1.0000E+0,10.5102E-12,-1.5000E+0,88.5188E-9,1.2000E+0,12.9218E-12,1.0000E+0,3.3610E-12,-1.0000E+0,121.3147E-9,1.2000E+0,12.9218E-12,1.0000E+0,5.5478E-12,-500.0000E-3,151.3414E-9,1.2000E+0,12.6674E-12,1.0000E+0,9.9214E-12,000.0000E-3
12.1665E-9,1.2500E+0,15.7197E-12,1.0000E+0,4.3282E-12,-3.0000E+0,23.2824E-9,1.2500E+0,14.8719E-12,1.0000E+0,-3.8722E-12,-2.5000E+0,39.0942E-9,1.2500E+0,15.0838E-12,1.0000E+0,8.1972E-12,-2.0000E+0,61.1340E-9,1.2500E+0,14.1512E-12,1.0000E+0,7.5243E-12,-1.5000E+0,89.8626E-9,1.2500E+0,13.5577E-12,1.0000E+0,6.7674E-12,-1.0000E+0,123.1029E-9,1.2500E+0,12.5827E-12,1.0000E+0,-3.8301E-12,-500.0000E-3,153.4407E-9,1.2500E+0,12.4131E-12,1.0000E+0,3.7395E-12,000.0000E-3
12.2758E-9,1.3000E+0,13.5577E-12,1.0000E+0,3.9497E-12,-3.0000E+0,23.5587E-9,1.3000E+0,13.0490E-12,1.0000E+0,2.4358E-12,-2.5000E+0,39.6499E-9,1.3000E+0,13.6001E-12,1.0000E+0,291.1144E-15,-2.0000E+0,61.9787E-9,1.3000E+0,14.2784E-12,1.0000E+0,753.7027E-15,-1.5000E+0,91.0963E-9,1.3000E+0,12.1588E-12,1.0000E+0,7.4402E-12,-1.0000E+0,124.6749E-9,1.3000E+0,14.2360E-12,1.0000E+0,3.4871E-12,-500.0000E-3,155.1673E-9,1.3000E+0,15.2110E-12,1.0000E+0,5.5478E-12,000.0000E-3
12.3830E-9,1.3500E+0,14.1088E-12,1.0000E+0,-87.3745E-15,-3.0000E+0,23.8309E-9,1.3500E+0,14.4480E-12,1.0000E+0,837.8020E-15,-2.5000E+0,40.1709E-9,1.3500E+0,13.5153E-12,1.0000E+0,-2.1900E-12,-2.0000E+0,62.8508E-9,1.3500E+0,13.8121E-12,1.0000E+0,3.3189E-12,-1.5000E+0,92.2485E-9,1.3500E+0,10.8870E-12,1.0000E+0,7.1458E-12,-1.0000E+0,126.1739E-9,1.3500E+0,12.1163E-12,1.0000E+0,2.3938E-12,-500.0000E-3,156.8346E-9,1.3500E+0,11.1413E-12,1.0000E+0,3.6554E-12,000.0000E-3
12.4945E-9,1.4000E+0,15.9741E-12,1.0000E+0,4.5385E-12,-3.0000E+0,24.1158E-9,1.4000E+0,15.2110E-12,1.0000E+0,-1.8956E-12,-2.5000E+0,40.6798E-9,1.4000E+0,15.4230E-12,1.0000E+0,417.2634E-15,-2.0000E+0,63.6644E-9,1.4000E+0,13.3881E-12,1.0000E+0,5.8842E-12,-1.5000E+0,93.4131E-9,1.4000E+0,13.4729E-12,1.0000E+0,9.1224E-12,-1.0000E+0,127.7840E-9,1.4000E+0,12.0740E-12,1.0000E+0,4.9170E-12,-500.0000E-3,158.4818E-9,1.4000E+0,11.9891E-12,1.0000E+0,3.1928E-12,000.0000E-3
12.5997E-9,1.4500E+0,13.7697E-12,1.0000E+0,6.6412E-12,-3.0000E+0,24.3606E-9,1.4500E+0,12.4979E-12,1.0000E+0,-3.7460E-12,-2.5000E+0,41.1561E-9,1.4500E+0,13.0490E-12,1.0000E+0,11.0568E-12,-2.0000E+0,64.4118E-9,1.4500E+0,13.3881E-12,1.0000E+0,2.8984E-12,-1.5000E+0,94.4907E-9,1.4500E+0,12.0740E-12,1.0000E+0,2.8984E-12,-1.0000E+0,129.0958E-9,1.4500E+0,13.9392E-12,1.0000E+0,10.5102E-12,-500.0000E-3,160.1780E-9,1.4500E+0,15.4230E-12,1.0000E+0,5.5057E-12,000.0000E-3
12.6874E-9,1.5000E+0,14.3632E-12,1.0000E+0,-2.7367E-12,-3.0000E+0,24.6041E-9,1.5000E+0,13.6001E-12,1.0000E+0,-5.3861E-12,-2.5000E+0,41.6129E-9,1.5000E+0,13.0914E-12,1.0000E+0,5.1693E-12,-2.0000E+0,65.1548E-9,1.5000E+0,12.0740E-12,1.0000E+0,8.4074E-12,-1.5000E+0,95.5857E-9,1.5000E+0,12.0740E-12,1.0000E+0,7.2299E-12,-1.0000E+0,130.4858E-9,1.5000E+0,11.7772E-12,1.0000E+0,6.0945E-12,-500.0000E-3,161.8209E-9,1.5000E+0,11.9044E-12,1.0000E+0,8.8700E-12,000.0000E-3
12.7924E-9,1.5500E+0,14.8719E-12,1.0000E+0,1.6368E-12,-3.0000E+0,24.8519E-9,1.5500E+0,16.0165E-12,1.0000E+0,-7.6991E-12,-2.5000E+0,42.0699E-9,1.5500E+0,14.5327E-12,1.0000E+0,2.3517E-12,-2.0000E+0,65.8484E-9,1.5500E+0,13.2186E-12,1.0000E+0,5.2534E-12,-1.5000E+0,96.6133E-9,1.5500E+0,14.4904E-12,1.0000E+0,6.1365E-12,-1.0000E+0,131.7799E-9,1.5500E+0,13.1762E-12,1.0000E+0,8.0710E-12,-500.0000E-3,163.1226E-9,1.5500E+0,10.2087E-12,1.0000E+0,9.3326E-12,000.0000E-3
12.8690E-9,1.6000E+0,15.3806E-12,1.0000E+0,-2.1059E-12,-3.0000E+0,25.0760E-9,1.6000E+0,13.3457E-12,1.0000E+0,-2.5264E-12,-2.5000E+0,42.4952E-9,1.6000E+0,13.8544E-12,1.0000E+0,417.2634E-15,-2.0000E+0,66.5190E-9,1.6000E+0,14.4055E-12,1.0000E+0,3.5292E-12,-1.5000E+0,97.5437E-9,1.6000E+0,12.5403E-12,1.0000E+0,8.7018E-12,-1.0000E+0,133.0551E-9,1.6000E+0,13.5577E-12,1.0000E+0,3.7395E-12,-500.0000E-3,164.4214E-9,1.6000E+0,14.1936E-12,1.0000E+0,5.9683E-12,000.0000E-3
12.9567E-9,1.6500E+0,15.8893E-12,1.0000E+0,2.0573E-12,-3.0000E+0,25.2775E-9,1.6500E+0,13.7273E-12,1.0000E+0,-171.4739E-15,-2.5000E+0,42.9218E-9,1.6500E+0,13.8968E-12,1.0000E+0,1.8471E-12,-2.0000E+0,67.2260E-9,1.6500E+0,13.1338E-12,1.0000E+0,10.2999E-12,-1.5000E+0,98.5087E-9,1.6500E+0,11.7348E-12,1.0000E+0,-3.2612E-15,-1.0000E+0,134.2314E-9,1.6500E+0,13.0914E-12,1.0000E+0,164.9514E-15,-500.0000E-3,165.8804E-9,1.6500E+0,12.4979E-12,1.0000E+0,8.7859E-12,000.0000E-3
13.0732E-9,1.7000E+0,16.5252E-12,1.0000E+0,-592.0264E-15,-3.0000E+0,25.5021E-9,1.7000E+0,14.1088E-12,1.0000E+0,1.0901E-12,-2.5000E+0,43.3012E-9,1.7000E+0,15.8469E-12,1.0000E+0,5.4637E-12,-2.0000E+0,67.8772E-9,1.7000E+0,11.9891E-12,1.0000E+0,5.5898E-12,-1.5000E+0,99.5199E-9,1.7000E+0,13.0066E-12,1.0000E+0,7.1879E-12,-1.0000E+0,135.4428E-9,1.7000E+0,11.9468E-12,1.0000E+0,-676.1397E-15,-500.0000E-3,167.0596E-9,1.7000E+0,12.0740E-12,1.0000E+0,3.7395E-12,000.0000E-3
13.1621E-9,1.7500E+0,13.2186E-12,1.0000E+0,1.5947E-12,-3.0000E+0,25.7073E-9,1.7500E+0,13.8968E-12,1.0000E+0,-9.5074E-12,-2.5000E+0,43.7247E-9,1.7500E+0,13.8968E-12,1.0000E+0,4.2862E-12,-2.0000E+0,68.4989E-9,1.7500E+0,15.3806E-12,1.0000E+0,10.2578E-12,-1.5000E+0,100.4486E-9,1.7500E+0,11.4381E-12,1.0000E+0,7.8608E-12,-1.0000E+0,136.4758E-9,1.7500E+0,13.7697E-12,1.0000E+0,-4.2506E-12,-500.0000E-3,168.3742E-9,1.7500E+0,12.7523E-12,1.0000E+0,6.4309E-12,000.0000E-3
13.2445E-9,1.8000E+0,16.1013E-12,1.0000E+0,-1.6854E-12,-3.0000E+0,25.9255E-9,1.8000E+0,13.6001E-12,1.0000E+0,-3.9983E-12,-2.5000E+0,44.0967E-9,1.8000E+0,13.4305E-12,1.0000E+0,2.6461E-12,-2.0000E+0,69.1244E-9,1.8000E+0,14.1512E-12,1.0000E+0,10.7204E-12,-1.5000E+0,101.2843E-9,1.8000E+0,13.0914E-12,1.0000E+0,6.7674E-12,-1.0000E+0,137.6621E-9,1.8000E+0,13.5577E-12,1.0000E+0,-339.6866E-15,-500.0000E-3,169.6230E-9,1.8000E+0,12.0316E-12,1.0000E+0,4.1180E-12,000.0000E-3
13.3148E-9,1.8500E+0,17.1187E-12,1.0000E+0,669.5894E-15,-3.0000E+0,26.1267E-9,1.8500E+0,14.3632E-12,1.0000E+0,-1.6854E-12,-2.5000E+0,44.4623E-9,1.8500E+0,14.4055E-12,1.0000E+0,11.0148E-12,-2.0000E+0,69.6850E-9,1.8500E+0,12.1588E-12,1.0000E+0,8.1972E-12,-1.5000E+0,102.2066E-9,1.8500E+0,13.5577E-12,1.0000E+0,10.6784E-12,-1.0000E+0,138.8203E-9,1.8500E+0,12.8370E-12,1.0000E+0,3.0246E-12,-500.0000E-3,170.6154E-9,1.8500E+0,12.3707E-12,1.0000E+0,4.7908E-12,000.0000E-3
13.4035E-9,1.9000E+0,13.2610E-12,1.0000E+0,2.4779E-12,-3.0000E+0,26.3293E-9,1.9000E+0,13.0490E-12,1.0000E+0,-2.6526E-12,-2.5000E+0,44.8355E-9,1.9000E+0,13.2186E-12,1.0000E+0,12.4867E-12,-2.0000E+0,70.2987E-9,1.9000E+0,15.3382E-12,1.0000E+0,6.0524E-12,-1.5000E+0,103.0569E-9,1.9000E+0,12.2860E-12,1.0000E+0,10.4260E-12,-1.0000E+0,139.8456E-9,1.9000E+0,13.3457E-12,1.0000E+0,4.1600E-12,-500.0000E-3,171.6796E-9,1.9000E+0,13.0914E-12,1.0000E+0,10.5102E-12,000.0000E-3
13.4988E-9,1.9500E+0,14.3208E-12,1.0000E+0,2.1835E-12,-3.0000E+0,26.5287E-9,1.9500E+0,12.6674E-12,1.0000E+0,-3.2612E-15,-2.5000E+0,45.1808E-9,1.9500E+0,12.4979E-12,1.0000E+0,10.5102E-12,-2.0000E+0,70.9211E-9,1.9500E+0,14.2360E-12,1.0000E+0,11.4353E-12,-1.5000E+0,103.8339E-9,1.9500E+0,10.7174E-12,1.0000E+0,10.7625E-12,-1.0000E+0,140.6968E-9,1.9500E+0,14.1936E-12,1.0000E+0,2.8984E-12,-500.0000E-3,172.6890E-9,1.9500E+0,12.3283E-12,1.0000E+0,9.8793E-12,000.0000E-3
13.5782E-9,2.0000E+0,15.5502E-12,1.0000E+0,207.0011E-15,-3.0000E+0,26.7206E-9,2.0000E+0,15.5502E-12,1.0000E+0,-4.6292E-12,-2.5000E+0,45.5267E-9,2.0000E+0,14.1088E-12,1.0000E+0,8.3233E-12,-2.0000E+0,71.4280E-9,2.0000E+0,13.6425E-12,1.0000E+0,3.9077E-12,-1.5000E+0,104.6671E-9,2.0000E+0,14.2360E-12,1.0000E+0,8.3233E-12,-1.0000E+0,141.7974E-9,2.0000E+0,12.1588E-12,1.0000E+0,-171.4739E-15,-500.0000E-3,173.9608E-9,2.0000E+0,12.6251E-12,1.0000E+0,2.0994E-12,000.0000E-3
