DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
-35.6058E-12,000.0000E-3,15.5944E-12,000.0000E-3,-8.2451E-12,-3.0000E+0,-55.9336E-12,000.0000E-3,14.4497E-12,000.0000E-3,-3.7033E-12,-2.5000E+0,-88.4665E-12,000.0000E-3,13.0508E-12,000.0000E-3,2.8150E-12,-2.0000E+0,-111.4879E-12,000.0000E-3,13.2628E-12,000.0000E-3,-6.2265E-12,-1.5000E+0,-142.8003E-12,000.0000E-3,13.4747E-12,000.0000E-3,-212.8575E-15,-1.0000E+0,-144.4417E-12,000.0000E-3,15.0433E-12,000.0000E-3,-1.6426E-12,-500.0000E-3,-146.9669E-12,000.0000E-3,13.2204E-12,000.0000E-3,5.2541E-12,000.0000E-3
1.0205E-9,50.0000E-3,16.1031E-12,000.0000E-3,-7.6984E-12,-3.0000E+0,1.6011E-9,50.0000E-3,14.4074E-12,000.0000E-3,-5.5116E-12,-2.5000E+0,2.4397E-9,50.0000E-3,14.8313E-12,000.0000E-3,-6.1844E-12,-2.0000E+0,3.5499E-9,50.0000E-3,12.3725E-12,000.0000E-3,-1.7688E-12,-1.5000E+0,4.8593E-9,50.0000E-3,14.2802E-12,000.0000E-3,3.5299E-12,-1.0000E+0,6.2771E-9,50.0000E-3,14.1530E-12,000.0000E-3,39.4545E-15,-500.0000E-3,7.5733E-9,50.0000E-3,14.3226E-12,000.0000E-3,7.2726E-12,000.0000E-3
1.9727E-9,100.0000E-3,16.5694E-12,000.0000E-3,-12.3243E-12,-3.0000E+0,3.1202E-9,100.0000E-3,14.6617E-12,000.0000E-3,-1.6006E-12,-2.5000E+0,4.7459E-9,100.0000E-3,16.3998E-12,000.0000E-3,1.2169E-12,-2.0000E+0,6.8298E-9,100.0000E-3,13.3051E-12,000.0000E-3,-9.8852E-12,-1.5000E+0,9.3020E-9,100.0000E-3,13.4747E-12,000.0000E-3,2.5626E-12,-1.0000E+0,11.9406E-9,100.0000E-3,15.0433E-12,000.0000E-3,-3.9135E-12,-500.0000E-3,14.3491E-9,100.0000E-3,13.2204E-12,000.0000E-3,7.3988E-12,000.0000E-3
2.8074E-9,150.0000E-3,15.9335E-12,000.0000E-3,-1.0118E-12,-3.0000E+0,4.5184E-9,150.0000E-3,17.0357E-12,000.0000E-3,-212.8575E-15,-2.5000E+0,6.8345E-9,150.0000E-3,14.9161E-12,000.0000E-3,712.3330E-15,-2.0000E+0,9.7964E-9,150.0000E-3,14.4074E-12,000.0000E-3,-7.7825E-12,-1.5000E+0,13.2843E-9,150.0000E-3,14.4497E-12,000.0000E-3,5.8008E-12,-1.0000E+0,16.9829E-9,150.0000E-3,15.5944E-12,000.0000E-3,-7.0255E-12,-500.0000E-3,20.3449E-9,150.0000E-3,14.9584E-12,000.0000E-3,9.1651E-12,000.0000E-3
3.5706E-9,200.0000E-3,17.1205E-12,000.0000E-3,-1.9791E-12,-3.0000E+0,5.7783E-9,200.0000E-3,14.1106E-12,000.0000E-3,-1.1380E-12,-2.5000E+0,8.7457E-9,200.0000E-3,15.8063E-12,000.0000E-3,-591.3325E-15,-2.0000E+0,12.4650E-9,200.0000E-3,14.2802E-12,000.0000E-3,-10.0534E-12,-1.5000E+0,16.8212E-9,200.0000E-3,13.6867E-12,000.0000E-3,1.0908E-12,-1.0000E+0,21.4351E-9,200.0000E-3,13.7291E-12,000.0000E-3,754.3827E-15,-500.0000E-3,25.6428E-9,200.0000E-3,14.3650E-12,000.0000E-3,3.7401E-12,000.0000E-3
4.2512E-9,250.0000E-3,15.3400E-12,000.0000E-3,4.7915E-12,-3.0000E+0,6.9378E-9,250.0000E-3,17.0781E-12,000.0000E-3,-843.6585E-15,-2.5000E+0,10.4551E-9,250.0000E-3,16.1031E-12,000.0000E-3,-1.0539E-12,-2.0000E+0,14.8681E-9,250.0000E-3,14.0683E-12,000.0000E-3,-5.8480E-12,-1.5000E+0,20.0025E-9,250.0000E-3,15.0433E-12,000.0000E-3,4.3709E-12,-1.0000E+0,25.3936E-9,250.0000E-3,14.2802E-12,000.0000E-3,-4.4602E-12,-500.0000E-3,30.3138E-9,250.0000E-3,13.2204E-12,000.0000E-3,4.0766E-12,000.0000E-3
4.8673E-9,300.0000E-3,14.5346E-12,000.0000E-3,-1.3482E-12,-3.0000E+0,7.9739E-9,300.0000E-3,17.1205E-12,000.0000E-3,2.3103E-12,-2.5000E+0,12.0102E-9,300.0000E-3,15.8487E-12,000.0000E-3,-4.0817E-12,-2.0000E+0,17.0340E-9,300.0000E-3,15.8063E-12,000.0000E-3,-8.5394E-12,-1.5000E+0,22.8548E-9,300.0000E-3,14.7041E-12,000.0000E-3,3.2355E-12,-1.0000E+0,28.9603E-9,300.0000E-3,16.7814E-12,000.0000E-3,754.3827E-15,-500.0000E-3,34.4526E-9,300.0000E-3,14.1530E-12,000.0000E-3,5.6326E-12,000.0000E-3
5.4120E-9,350.0000E-3,15.0433E-12,000.0000E-3,-423.1199E-15,-3.0000E+0,8.9169E-9,350.0000E-3,15.8911E-12,000.0000E-3,-5.8900E-12,-2.5000E+0,13.4295E-9,350.0000E-3,16.4846E-12,000.0000E-3,-801.6088E-15,-2.0000E+0,19.0006E-9,350.0000E-3,15.6791E-12,000.0000E-3,-10.3478E-12,-1.5000E+0,25.4137E-9,350.0000E-3,15.5520E-12,000.0000E-3,1.5113E-12,-1.0000E+0,32.1226E-9,350.0000E-3,13.0084E-12,000.0000E-3,-1.6426E-12,-500.0000E-3,38.1960E-9,350.0000E-3,14.4497E-12,000.0000E-3,81.5320E-15,000.0000E-3
5.9047E-9,400.0000E-3,16.6965E-12,000.0000E-3,-5.3854E-12,-3.0000E+0,9.7736E-9,400.0000E-3,14.4074E-12,000.0000E-3,-7.7825E-12,-2.5000E+0,14.7178E-9,400.0000E-3,17.0781E-12,000.0000E-3,2.3524E-12,-2.0000E+0,20.7673E-9,400.0000E-3,15.3824E-12,000.0000E-3,-6.6891E-12,-1.5000E+0,27.7356E-9,400.0000E-3,14.8737E-12,000.0000E-3,-4.8387E-12,-1.0000E+0,34.9466E-9,400.0000E-3,15.5944E-12,000.0000E-3,3.6140E-12,-500.0000E-3,41.4956E-9,400.0000E-3,13.8138E-12,000.0000E-3,4.6653E-12,000.0000E-3
6.3569E-9,450.0000E-3,15.7215E-12,000.0000E-3,-8.6235E-12,-3.0000E+0,10.5550E-9,450.0000E-3,17.1205E-12,000.0000E-3,-5.9321E-12,-2.5000E+0,15.8815E-9,450.0000E-3,14.8313E-12,000.0000E-3,3.5719E-12,-2.0000E+0,22.3736E-9,450.0000E-3,15.4672E-12,000.0000E-3,-12.3243E-12,-1.5000E+0,29.8308E-9,450.0000E-3,13.9411E-12,000.0000E-3,1.2169E-12,-1.0000E+0,37.5498E-9,450.0000E-3,16.1878E-12,000.0000E-3,-3.1566E-12,-500.0000E-3,44.5521E-9,450.0000E-3,13.3900E-12,000.0000E-3,1.3851E-12,000.0000E-3
6.7674E-9,500.0000E-3,14.6617E-12,000.0000E-3,-6.3947E-12,-3.0000E+0,11.2678E-9,500.0000E-3,14.7041E-12,000.0000E-3,5.2120E-12,-2.5000E+0,16.9568E-9,500.0000E-3,15.2976E-12,000.0000E-3,964.6450E-15,-2.0000E+0,23.8686E-9,500.0000E-3,14.2378E-12,000.0000E-3,-8.2030E-12,-1.5000E+0,31.7345E-9,500.0000E-3,13.8138E-12,000.0000E-3,-5.1751E-12,-1.0000E+0,39.9166E-9,500.0000E-3,14.6617E-12,000.0000E-3,-1.0539E-12,-500.0000E-3,47.2678E-9,500.0000E-3,15.3824E-12,000.0000E-3,3.2776E-12,000.0000E-3
7.1272E-9,550.0000E-3,16.5270E-12,000.0000E-3,-13.5018E-12,-3.0000E+0,11.9132E-9,550.0000E-3,16.1455E-12,000.0000E-3,2.3944E-12,-2.5000E+0,17.9634E-9,550.0000E-3,14.8737E-12,000.0000E-3,1.5954E-12,-2.0000E+0,25.2184E-9,550.0000E-3,14.4497E-12,000.0000E-3,-12.4084E-12,-1.5000E+0,33.4872E-9,550.0000E-3,14.8737E-12,000.0000E-3,-843.6585E-15,-1.0000E+0,42.0196E-9,550.0000E-3,15.9758E-12,000.0000E-3,838.4821E-15,-500.0000E-3,49.7303E-9,550.0000E-3,15.6367E-12,000.0000E-3,4.7074E-12,000.0000E-3
7.4499E-9,600.0000E-3,14.6193E-12,000.0000E-3,-5.3013E-12,-3.0000E+0,12.5059E-9,600.0000E-3,16.1878E-12,000.0000E-3,375.9076E-15,-2.5000E+0,18.8629E-9,600.0000E-3,16.9085E-12,000.0000E-3,-1.4324E-12,-2.0000E+0,26.4655E-9,600.0000E-3,15.1704E-12,000.0000E-3,-1.5585E-12,-1.5000E+0,35.1208E-9,600.0000E-3,13.9834E-12,000.0000E-3,838.4821E-15,-1.0000E+0,44.0037E-9,600.0000E-3,16.5694E-12,000.0000E-3,1.4692E-12,-500.0000E-3,51.9165E-9,600.0000E-3,13.1780E-12,000.0000E-3,5.4223E-12,000.0000E-3
7.7580E-9,650.0000E-3,14.2802E-12,000.0000E-3,-10.6421E-12,-3.0000E+0,13.0560E-9,650.0000E-3,14.4921E-12,000.0000E-3,5.6326E-12,-2.5000E+0,19.7026E-9,650.0000E-3,15.7639E-12,000.0000E-3,-5.2592E-12,-2.0000E+0,27.6163E-9,650.0000E-3,16.1878E-12,000.0000E-3,-4.0817E-12,-1.5000E+0,36.5941E-9,650.0000E-3,14.3226E-12,000.0000E-3,-1.3062E-12,-1.0000E+0,45.8064E-9,650.0000E-3,12.5844E-12,000.0000E-3,1.6374E-12,-500.0000E-3,53.9806E-9,650.0000E-3,15.0008E-12,000.0000E-3,3.4458E-12,000.0000E-3
8.0253E-9,700.0000E-3,17.4172E-12,000.0000E-3,-7.3199E-12,-3.0000E+0,13.5562E-9,700.0000E-3,15.0433E-12,000.0000E-3,-2.5951E-15,-2.5000E+0,20.4730E-9,700.0000E-3,15.6367E-12,000.0000E-3,922.5953E-15,-2.0000E+0,28.7147E-9,700.0000E-3,14.0258E-12,000.0000E-3,-3.2827E-12,-1.5000E+0,37.9864E-9,700.0000E-3,15.1704E-12,000.0000E-3,-2.9463E-12,-1.0000E+0,47.5209E-9,700.0000E-3,13.8138E-12,000.0000E-3,-885.7082E-15,-500.0000E-3,55.9399E-9,700.0000E-3,16.2302E-12,000.0000E-3,-254.9072E-15,000.0000E-3
8.2789E-9,750.0000E-3,15.7639E-12,000.0000E-3,-1.8108E-12,-3.0000E+0,14.0062E-9,750.0000E-3,16.4422E-12,000.0000E-3,502.0567E-15,-2.5000E+0,21.1965E-9,750.0000E-3,14.7465E-12,000.0000E-3,-2.6519E-12,-2.0000E+0,29.7299E-9,750.0000E-3,14.3650E-12,000.0000E-3,-3.9556E-12,-1.5000E+0,39.2692E-9,750.0000E-3,14.4074E-12,000.0000E-3,-5.8900E-12,-1.0000E+0,49.0765E-9,750.0000E-3,16.3574E-12,000.0000E-3,1.1328E-12,-500.0000E-3,57.7300E-9,750.0000E-3,11.8214E-12,000.0000E-3,5.7167E-12,000.0000E-3
8.5153E-9,800.0000E-3,14.8313E-12,000.0000E-3,-7.1517E-12,-3.0000E+0,14.4567E-9,800.0000E-3,13.7714E-12,000.0000E-3,-2.1893E-12,-2.5000E+0,21.8687E-9,800.0000E-3,16.0183E-12,000.0000E-3,-2.6940E-12,-2.0000E+0,30.6673E-9,800.0000E-3,16.7390E-12,000.0000E-3,-3.5351E-12,-1.5000E+0,40.4835E-9,800.0000E-3,15.8063E-12,000.0000E-3,-2.6940E-12,-1.0000E+0,50.5444E-9,800.0000E-3,16.1031E-12,000.0000E-3,5.7167E-12,-500.0000E-3,59.3699E-9,800.0000E-3,15.0008E-12,000.0000E-3,6.0111E-12,000.0000E-3
8.7139E-9,850.0000E-3,17.1205E-12,000.0000E-3,-5.1331E-12,-3.0000E+0,14.8627E-9,850.0000E-3,14.2802E-12,000.0000E-3,-2.6940E-12,-2.5000E+0,22.5011E-9,850.0000E-3,14.9161E-12,000.0000E-3,964.6450E-15,-2.0000E+0,31.5614E-9,850.0000E-3,13.4323E-12,000.0000E-3,-3.2827E-12,-1.5000E+0,41.6530E-9,850.0000E-3,16.0607E-12,000.0000E-3,-2.9043E-12,-1.0000E+0,51.8933E-9,850.0000E-3,14.2802E-12,000.0000E-3,1.3851E-12,-500.0000E-3,60.9686E-9,850.0000E-3,15.0433E-12,000.0000E-3,1.2169E-12,000.0000E-3
8.9114E-9,900.0000E-3,14.8313E-12,000.0000E-3,-3.8715E-12,-3.0000E+0,15.2336E-9,900.0000E-3,16.1031E-12,000.0000E-3,-1.4744E-12,-2.5000E+0,23.1007E-9,900.0000E-3,15.7639E-12,000.0000E-3,-86.6806E-15,-2.0000E+0,32.4100E-9,900.0000E-3,15.0008E-12,000.0000E-3,-9.7590E-12,-1.5000E+0,42.7241E-9,900.0000E-3,15.4248E-12,000.0000E-3,-3.4930E-12,-1.0000E+0,53.1772E-9,900.0000E-3,15.7639E-12,000.0000E-3,5.4223E-12,-500.0000E-3,62.4423E-9,900.0000E-3,12.7964E-12,000.0000E-3,3.3617E-12,000.0000E-3
9.0758E-9,950.0000E-3,13.9834E-12,000.0000E-3,-6.4788E-12,-3.0000E+0,15.5967E-9,950.0000E-3,14.2378E-12,000.0000E-3,-2.4837E-12,-2.5000E+0,23.6686E-9,950.0000E-3,15.3400E-12,000.0000E-3,-5.5536E-12,-2.0000E+0,33.1954E-9,950.0000E-3,15.9335E-12,000.0000E-3,-7.7404E-12,-1.5000E+0,43.7214E-9,950.0000E-3,15.0857E-12,000.0000E-3,1.3851E-12,-1.0000E+0,54.3696E-9,950.0000E-3,14.2378E-12,000.0000E-3,-2.5257E-12,-500.0000E-3,63.8638E-9,950.0000E-3,13.0084E-12,000.0000E-3,8.0717E-12,000.0000E-3
9.2290E-9,1.0000E+0,17.4597E-12,000.0000E-3,-6.1424E-12,-3.0000E+0,15.9098E-9,1.0000E+0,14.7465E-12,000.0000E-3,-3.7033E-12,-2.5000E+0,24.1830E-9,1.0000E+0,15.6791E-12,000.0000E-3,-885.7082E-15,-2.0000E+0,33.9550E-9,1.0000E+0,14.1530E-12,000.0000E-3,-2.6940E-12,-1.5000E+0,44.6927E-9,1.0000E+0,16.5270E-12,000.0000E-3,-3.3668E-12,-1.0000E+0,55.5345E-9,1.0000E+0,16.1878E-12,000.0000E-3,4.2027E-12,-500.0000E-3,65.1838E-9,1.0000E+0,14.8737E-12,000.0000E-3,2.6047E-12,000.0000E-3
9.3772E-9,1.0500E+0,15.9335E-12,000.0000E-3,-5.0069E-12,-3.0000E+0,16.2354E-9,1.0500E+0,15.8487E-12,000.0000E-3,-8.4133E-12,-2.5000E+0,24.6932E-9,1.0500E+0,14.1106E-12,000.0000E-3,-11.6094E-12,-2.0000E+0,34.6596E-9,1.0500E+0,17.4172E-12,000.0000E-3,2.9411E-12,-1.5000E+0,45.6238E-9,1.0500E+0,16.5270E-12,000.0000E-3,-675.4458E-15,-1.0000E+0,56.6657E-9,1.0500E+0,15.8911E-12,000.0000E-3,8.4502E-12,-500.0000E-3,66.4230E-9,1.0500E+0,12.1606E-12,000.0000E-3,3.8243E-12,000.0000E-3
9.5134E-9,1.1000E+0,14.1106E-12,000.0000E-3,-8.2451E-12,-3.0000E+0,16.5316E-9,1.1000E+0,15.7639E-12,000.0000E-3,-10.1375E-12,-2.5000E+0,25.1826E-9,1.1000E+0,14.8313E-12,000.0000E-3,-3.9135E-12,-2.0000E+0,35.3580E-9,1.1000E+0,13.9834E-12,000.0000E-3,-2.4417E-12,-1.5000E+0,46.5069E-9,1.1000E+0,14.7465E-12,000.0000E-3,880.5456E-15,-1.0000E+0,57.7331E-9,1.1000E+0,15.2552E-12,000.0000E-3,-1.8529E-12,-500.0000E-3,67.5896E-9,1.1000E+0,13.8986E-12,000.0000E-3,6.0111E-12,000.0000E-3
9.6430E-9,1.1500E+0,16.9085E-12,000.0000E-3,-8.8759E-12,-3.0000E+0,16.7967E-9,1.1500E+0,15.4248E-12,000.0000E-3,-1.8529E-12,-2.5000E+0,25.6336E-9,1.1500E+0,13.2204E-12,000.0000E-3,-1.8529E-12,-2.0000E+0,35.9830E-9,1.1500E+0,15.4672E-12,000.0000E-3,-4.7967E-12,-1.5000E+0,47.3202E-9,1.1500E+0,15.5520E-12,000.0000E-3,4.5812E-12,-1.0000E+0,58.7312E-9,1.1500E+0,15.1704E-12,000.0000E-3,-1.3062E-12,-500.0000E-3,68.7904E-9,1.1500E+0,15.1704E-12,000.0000E-3,1.1328E-12,000.0000E-3
9.7691E-9,1.2000E+0,15.4248E-12,000.0000E-3,-2.8201E-12,-3.0000E+0,17.0691E-9,1.2000E+0,14.9161E-12,000.0000E-3,-1.4744E-12,-2.5000E+0,26.0671E-9,1.2000E+0,15.8487E-12,000.0000E-3,-128.7581E-15,-2.0000E+0,36.5948E-9,1.2000E+0,16.7390E-12,000.0000E-3,-7.3619E-12,-1.5000E+0,48.1350E-9,1.2000E+0,16.2727E-12,000.0000E-3,3.7401E-12,-1.0000E+0,59.7140E-9,1.2000E+0,16.7390E-12,000.0000E-3,5.0438E-12,-500.0000E-3,69.8504E-9,1.2000E+0,12.4573E-12,000.0000E-3,3.6981E-12,000.0000E-3
9.8822E-9,1.2500E+0,16.0607E-12,000.0000E-3,-4.2920E-12,-3.0000E+0,17.3129E-9,1.2500E+0,16.1878E-12,000.0000E-3,-1.1380E-12,-2.5000E+0,26.4686E-9,1.2500E+0,15.8063E-12,000.0000E-3,2.0159E-12,-2.0000E+0,37.1925E-9,1.2500E+0,15.3824E-12,000.0000E-3,-2.6099E-12,-1.5000E+0,48.8821E-9,1.2500E+0,15.0433E-12,000.0000E-3,1.5113E-12,-1.0000E+0,60.6804E-9,1.2500E+0,15.6367E-12,000.0000E-3,-1.0959E-12,-500.0000E-3,70.9440E-9,1.2500E+0,14.5346E-12,000.0000E-3,-675.4458E-15,000.0000E-3
9.9947E-9,1.3000E+0,17.0781E-12,000.0000E-3,-4.8808E-12,-3.0000E+0,17.5482E-9,1.3000E+0,15.2976E-12,000.0000E-3,-7.9086E-12,-2.5000E+0,26.8590E-9,1.3000E+0,13.8138E-12,000.0000E-3,1.1328E-12,-2.0000E+0,37.7869E-9,1.3000E+0,14.2378E-12,000.0000E-3,-6.3526E-12,-1.5000E+0,49.6349E-9,1.3000E+0,14.9161E-12,000.0000E-3,-3.7033E-12,-1.0000E+0,61.5496E-9,1.3000E+0,14.6193E-12,000.0000E-3,-4.5864E-12,-500.0000E-3,71.8549E-9,1.3000E+0,16.0183E-12,000.0000E-3,2.6467E-12,000.0000E-3
10.0930E-9,1.3500E+0,16.1455E-12,000.0000E-3,3.2355E-12,-3.0000E+0,17.7958E-9,1.3500E+0,16.4422E-12,000.0000E-3,-9.3805E-12,-2.5000E+0,27.2632E-9,1.3500E+0,13.0932E-12,000.0000E-3,1.3010E-12,-2.0000E+0,38.2947E-9,1.3500E+0,15.8487E-12,000.0000E-3,-6.3947E-12,-1.5000E+0,50.3575E-9,1.3500E+0,16.3998E-12,000.0000E-3,-2.6940E-12,-1.0000E+0,62.3790E-9,1.3500E+0,15.4248E-12,000.0000E-3,-5.4695E-12,-500.0000E-3,72.9256E-9,1.3500E+0,13.7714E-12,000.0000E-3,-3.3248E-12,000.0000E-3
10.2016E-9,1.4000E+0,15.8911E-12,000.0000E-3,964.6450E-15,-3.0000E+0,18.0195E-9,1.4000E+0,16.7814E-12,000.0000E-3,-3.5771E-12,-2.5000E+0,27.6358E-9,1.4000E+0,14.5769E-12,000.0000E-3,-7.1096E-12,-2.0000E+0,38.8432E-9,1.4000E+0,14.9161E-12,000.0000E-3,-12.4925E-12,-1.5000E+0,51.0440E-9,1.4000E+0,16.4422E-12,000.0000E-3,-2.1893E-12,-1.0000E+0,63.2530E-9,1.4000E+0,16.0183E-12,000.0000E-3,-128.7581E-15,-500.0000E-3,73.7849E-9,1.4000E+0,12.1606E-12,000.0000E-3,-3.6612E-12,000.0000E-3
10.2975E-9,1.4500E+0,16.6542E-12,000.0000E-3,-3.3668E-12,-3.0000E+0,18.2309E-9,1.4500E+0,15.5944E-12,000.0000E-3,-6.0162E-12,-2.5000E+0,27.9971E-9,1.4500E+0,15.5095E-12,000.0000E-3,-3.8294E-12,-2.0000E+0,39.3668E-9,1.4500E+0,13.1356E-12,000.0000E-3,-4.2500E-12,-1.5000E+0,51.7452E-9,1.4500E+0,17.0781E-12,000.0000E-3,-5.3854E-12,-1.0000E+0,64.0406E-9,1.4500E+0,16.3998E-12,000.0000E-3,502.0567E-15,-500.0000E-3,74.7268E-9,1.4500E+0,15.7215E-12,000.0000E-3,-801.6088E-15,000.0000E-3
10.3796E-9,1.5000E+0,15.3400E-12,000.0000E-3,-4.2920E-12,-3.0000E+0,18.4371E-9,1.5000E+0,16.1878E-12,000.0000E-3,2.1000E-12,-2.5000E+0,28.3377E-9,1.5000E+0,14.5769E-12,000.0000E-3,-5.8060E-12,-2.0000E+0,39.8816E-9,1.5000E+0,15.7215E-12,000.0000E-3,-1.7267E-12,-1.5000E+0,52.4252E-9,1.5000E+0,16.6965E-12,000.0000E-3,2.2683E-12,-1.0000E+0,64.8669E-9,1.5000E+0,16.2727E-12,000.0000E-3,2.8150E-12,-500.0000E-3,75.6158E-9,1.5000E+0,14.4074E-12,000.0000E-3,-1.8108E-12,000.0000E-3
10.4683E-9,1.5500E+0,15.7639E-12,000.0000E-3,-5.1331E-12,-3.0000E+0,18.6349E-9,1.5500E+0,16.6542E-12,000.0000E-3,2.6047E-12,-2.5000E+0,28.6800E-9,1.5500E+0,13.0508E-12,000.0000E-3,-6.2685E-12,-2.0000E+0,40.3760E-9,1.5500E+0,15.0857E-12,000.0000E-3,-2.5951E-15,-1.5000E+0,53.0655E-9,1.5500E+0,16.5694E-12,000.0000E-3,-2.3996E-12,-1.0000E+0,65.6416E-9,1.5500E+0,16.5694E-12,000.0000E-3,8.6604E-12,-500.0000E-3,76.4317E-9,1.5500E+0,14.2378E-12,000.0000E-3,-1.6426E-12,000.0000E-3
10.5606E-9,1.6000E+0,18.1803E-12,000.0000E-3,-4.8387E-12,-3.0000E+0,18.8260E-9,1.6000E+0,15.7215E-12,000.0000E-3,-2.8201E-12,-2.5000E+0,28.9956E-9,1.6000E+0,13.5595E-12,000.0000E-3,-2.2734E-12,-2.0000E+0,40.8298E-9,1.6000E+0,14.6617E-12,000.0000E-3,3.1935E-12,-1.5000E+0,53.6257E-9,1.6000E+0,16.8661E-12,000.0000E-3,-5.3434E-12,-1.0000E+0,66.3276E-9,1.6000E+0,14.1530E-12,000.0000E-3,11.3939E-12,-500.0000E-3,77.3039E-9,1.6000E+0,16.1031E-12,000.0000E-3,3.6981E-12,000.0000E-3
10.6512E-9,1.6500E+0,14.9584E-12,000.0000E-3,-2.4417E-12,-3.0000E+0,19.0179E-9,1.6500E+0,16.9933E-12,000.0000E-3,754.3827E-15,-2.5000E+0,29.3028E-9,1.6500E+0,13.7714E-12,000.0000E-3,-5.8480E-12,-2.0000E+0,41.2889E-9,1.6500E+0,16.2302E-12,000.0000E-3,-2.0211E-12,-1.5000E+0,54.2349E-9,1.6500E+0,14.7889E-12,000.0000E-3,-801.6088E-15,-1.0000E+0,67.0563E-9,1.6500E+0,15.0008E-12,000.0000E-3,712.3330E-15,-500.0000E-3,78.1479E-9,1.6500E+0,13.6443E-12,000.0000E-3,165.6314E-15,000.0000E-3
