DrainI(1),DrainV(1),BulkI(1),BulkV(1),GateI(1),GateV(1),DrainI(2),DrainV(2),BulkI(2),BulkV(2),GateI(2),GateV(2),DrainI(3),DrainV(3),BulkI(3),BulkV(3),GateI(3),GateV(3),DrainI(4),DrainV(4),BulkI(4),BulkV(4),GateI(4),GateV(4),DrainI(5),DrainV(5),BulkI(5),BulkV(5),GateI(5),GateV(5),DrainI(6),DrainV(6),BulkI(6),BulkV(6),GateI(6),GateV(6),DrainI(7),DrainV(7),BulkI(7),BulkV(7),GateI(7),GateV(7)
12.0878E-9,1.3500E+0,12.0316E-12,2.0000E+0,4.8749E-12,-3.0000E+0,22.8748E-9,1.3500E+0,9.9967E-12,2.0000E+0,-718.1894E-15,-2.5000E+0,38.1963E-9,1.3500E+0,12.0740E-12,2.0000E+0,-1.3069E-12,-2.0000E+0,59.4370E-9,1.3500E+0,11.1413E-12,2.0000E+0,-2.2321E-12,-1.5000E+0,87.1696E-9,1.3500E+0,10.9293E-12,2.0000E+0,4.4123E-12,-1.0000E+0,118.4258E-9,1.3500E+0,12.4131E-12,2.0000E+0,6.2207E-12,-500.0000E-3,145.9061E-9,1.3500E+0,11.4805E-12,2.0000E+0,2.6461E-12,000.0000E-3
12.1769E-9,1.4000E+0,15.1262E-12,2.0000E+0,-2.7788E-12,-3.0000E+0,23.1200E-9,1.4000E+0,12.0316E-12,2.0000E+0,669.5894E-15,-2.5000E+0,38.6571E-9,1.4000E+0,9.2336E-12,2.0000E+0,-802.2888E-15,-2.0000E+0,60.1872E-9,1.4000E+0,9.6152E-12,2.0000E+0,-4.4609E-12,-1.5000E+0,88.2531E-9,1.4000E+0,12.6674E-12,2.0000E+0,6.1365E-12,-1.0000E+0,119.7553E-9,1.4000E+0,11.7772E-12,2.0000E+0,3.4871E-12,-500.0000E-3,147.2782E-9,1.4000E+0,10.5479E-12,2.0000E+0,-1.0966E-12,000.0000E-3
12.2786E-9,1.4500E+0,12.2436E-12,2.0000E+0,3.2769E-12,-3.0000E+0,23.3628E-9,1.4500E+0,10.9717E-12,2.0000E+0,375.2137E-15,-2.5000E+0,39.0831E-9,1.4500E+0,9.4456E-12,2.0000E+0,-10.4326E-12,-2.0000E+0,60.8897E-9,1.4500E+0,11.2685E-12,2.0000E+0,-6.2272E-12,-1.5000E+0,89.2330E-9,1.4500E+0,11.1413E-12,2.0000E+0,-6.2272E-12,-1.0000E+0,121.1286E-9,1.4500E+0,11.0565E-12,2.0000E+0,2.0573E-12,-500.0000E-3,148.7269E-9,1.4500E+0,10.4630E-12,2.0000E+0,-339.6866E-15,000.0000E-3
12.3746E-9,1.5000E+0,11.7348E-12,2.0000E+0,-1.3069E-12,-3.0000E+0,23.5806E-9,1.5000E+0,11.2685E-12,2.0000E+0,4.2021E-12,-2.5000E+0,39.5188E-9,1.5000E+0,10.8870E-12,2.0000E+0,3.4451E-12,-2.0000E+0,61.5758E-9,1.5000E+0,11.8620E-12,2.0000E+0,1.0480E-12,-1.5000E+0,90.1611E-9,1.5000E+0,10.2087E-12,2.0000E+0,-1.7695E-12,-1.0000E+0,122.3278E-9,1.5000E+0,12.4555E-12,2.0000E+0,7.1458E-12,-500.0000E-3,150.1773E-9,1.5000E+0,12.9218E-12,2.0000E+0,-844.3524E-15,000.0000E-3
12.4678E-9,1.5500E+0,13.5577E-12,2.0000E+0,-3.2834E-12,-3.0000E+0,23.8028E-9,1.5500E+0,10.4207E-12,2.0000E+0,8.0290E-12,-2.5000E+0,39.9140E-9,1.5500E+0,8.2586E-12,2.0000E+0,2.9405E-12,-2.0000E+0,62.2236E-9,1.5500E+0,9.0217E-12,2.0000E+0,-297.6369E-15,-1.5000E+0,91.2027E-9,1.5500E+0,10.5479E-12,2.0000E+0,-5.7646E-12,-1.0000E+0,123.3832E-9,1.5500E+0,9.4456E-12,2.0000E+0,5.0011E-12,-500.0000E-3,151.4314E-9,1.5500E+0,12.4979E-12,2.0000E+0,-2.1900E-12,000.0000E-3
12.5466E-9,1.6000E+0,12.2011E-12,2.0000E+0,543.4264E-15,-3.0000E+0,24.0310E-9,1.6000E+0,11.2685E-12,2.0000E+0,1.8891E-12,-2.5000E+0,40.3071E-9,1.6000E+0,8.8097E-12,2.0000E+0,-4.7132E-12,-2.0000E+0,62.8555E-9,1.6000E+0,11.7772E-12,2.0000E+0,2.0573E-12,-1.5000E+0,92.0461E-9,1.6000E+0,9.1064E-12,2.0000E+0,5.2114E-12,-1.0000E+0,124.4791E-9,1.6000E+0,11.1837E-12,2.0000E+0,5.6319E-12,-500.0000E-3,152.5466E-9,1.6000E+0,10.5479E-12,2.0000E+0,5.5478E-12,000.0000E-3
12.6403E-9,1.6500E+0,11.4805E-12,2.0000E+0,375.2137E-15,-3.0000E+0,24.2334E-9,1.6500E+0,10.7598E-12,2.0000E+0,-2.9890E-12,-2.5000E+0,40.6779E-9,1.6500E+0,11.6500E-12,2.0000E+0,-339.6866E-15,-2.0000E+0,63.4431E-9,1.6500E+0,11.2261E-12,2.0000E+0,-423.8138E-15,-1.5000E+0,92.8682E-9,1.6500E+0,10.5902E-12,2.0000E+0,-802.2888E-15,-1.0000E+0,125.7419E-9,1.6500E+0,11.2261E-12,2.0000E+0,6.1786E-12,-500.0000E-3,153.7093E-9,1.6500E+0,11.1837E-12,2.0000E+0,2.2676E-12,000.0000E-3
12.7197E-9,1.7000E+0,13.5577E-12,2.0000E+0,-6.1431E-12,-3.0000E+0,24.4058E-9,1.7000E+0,11.3957E-12,2.0000E+0,2.0994E-12,-2.5000E+0,41.0231E-9,1.7000E+0,10.3783E-12,2.0000E+0,5.1693E-12,-2.0000E+0,64.0092E-9,1.7000E+0,9.4032E-12,2.0000E+0,-6.4375E-12,-1.5000E+0,93.7802E-9,1.7000E+0,12.3707E-12,2.0000E+0,2.1414E-12,-1.0000E+0,126.6866E-9,1.7000E+0,10.5054E-12,2.0000E+0,2.9825E-12,-500.0000E-3,154.6871E-9,1.7000E+0,11.9468E-12,2.0000E+0,-718.1894E-15,000.0000E-3
12.8081E-9,1.7500E+0,11.3533E-12,2.0000E+0,585.4761E-15,-3.0000E+0,24.5987E-9,1.7500E+0,12.0316E-12,2.0000E+0,4.5385E-12,-2.5000E+0,41.3715E-9,1.7500E+0,9.7424E-12,2.0000E+0,5.1693E-12,-2.0000E+0,64.6069E-9,1.7500E+0,11.0141E-12,2.0000E+0,-5.7225E-12,-1.5000E+0,94.5613E-9,1.7500E+0,9.7000E-12,2.0000E+0,2.1414E-12,-1.0000E+0,127.7108E-9,1.7500E+0,12.5827E-12,2.0000E+0,3.8236E-12,-500.0000E-3,155.9936E-9,1.7500E+0,11.0141E-12,2.0000E+0,-2.5685E-12,000.0000E-3
12.8782E-9,1.8000E+0,12.7098E-12,2.0000E+0,1.3004E-12,-3.0000E+0,24.7723E-9,1.8000E+0,10.4207E-12,2.0000E+0,-1.6433E-12,-2.5000E+0,41.7383E-9,1.8000E+0,11.2261E-12,2.0000E+0,-423.8138E-15,-2.0000E+0,65.1694E-9,1.8000E+0,12.3707E-12,2.0000E+0,2.6461E-12,-1.5000E+0,95.3684E-9,1.8000E+0,11.2685E-12,2.0000E+0,9.8793E-12,-1.0000E+0,128.6809E-9,1.8000E+0,11.8196E-12,2.0000E+0,4.6647E-12,-500.0000E-3,156.9018E-9,1.8000E+0,11.0565E-12,2.0000E+0,5.8001E-12,000.0000E-3
12.9487E-9,1.8500E+0,12.2860E-12,2.0000E+0,-171.4739E-15,-3.0000E+0,24.9599E-9,1.8500E+0,11.8620E-12,2.0000E+0,-1.1387E-12,-2.5000E+0,42.0680E-9,1.8500E+0,9.7424E-12,2.0000E+0,3.1087E-12,-2.0000E+0,65.6788E-9,1.8500E+0,10.3783E-12,2.0000E+0,2.6461E-12,-1.5000E+0,96.1442E-9,1.8500E+0,13.4729E-12,2.0000E+0,7.2720E-12,-1.0000E+0,129.6276E-9,1.8500E+0,10.2935E-12,2.0000E+0,4.5806E-12,-500.0000E-3,158.1242E-9,1.8500E+0,11.9044E-12,2.0000E+0,9.3326E-12,000.0000E-3
13.0271E-9,1.9000E+0,11.1413E-12,2.0000E+0,-1.4330E-12,-3.0000E+0,25.1468E-9,1.9000E+0,11.6077E-12,2.0000E+0,-171.4739E-15,-2.5000E+0,42.3913E-9,1.9000E+0,10.6326E-12,2.0000E+0,3.4451E-12,-2.0000E+0,66.2225E-9,1.9000E+0,12.4555E-12,2.0000E+0,459.3270E-15,-1.5000E+0,96.8463E-9,1.9000E+0,10.8021E-12,2.0000E+0,2.4358E-12,-1.0000E+0,130.4886E-9,1.9000E+0,11.8196E-12,2.0000E+0,1.1321E-12,-500.0000E-3,159.1709E-9,1.9000E+0,11.4381E-12,2.0000E+0,10.2578E-12,000.0000E-3
13.1009E-9,1.9500E+0,11.8620E-12,2.0000E+0,-5.3020E-12,-3.0000E+0,25.3172E-9,1.9500E+0,9.5728E-12,2.0000E+0,459.3270E-15,-2.5000E+0,42.7075E-9,1.9500E+0,12.5827E-12,2.0000E+0,2.2676E-12,-2.0000E+0,66.7528E-9,1.9500E+0,12.4979E-12,2.0000E+0,5.7581E-12,-1.5000E+0,97.6116E-9,1.9500E+0,11.2685E-12,2.0000E+0,-1.3489E-12,-1.0000E+0,131.4423E-9,1.9500E+0,10.2087E-12,2.0000E+0,1.9312E-12,-500.0000E-3,159.8230E-9,1.9500E+0,10.6750E-12,2.0000E+0,-2.6526E-12,000.0000E-3
13.1821E-9,2.0000E+0,13.2186E-12,2.0000E+0,-4.8394E-12,-3.0000E+0,25.4733E-9,2.0000E+0,12.7946E-12,2.0000E+0,-2.4003E-12,-2.5000E+0,43.0206E-9,2.0000E+0,10.0815E-12,2.0000E+0,5.2114E-12,-2.0000E+0,67.2293E-9,2.0000E+0,10.0391E-12,2.0000E+0,-1.3910E-12,-1.5000E+0,98.3704E-9,2.0000E+0,12.7098E-12,2.0000E+0,-1.2228E-12,-1.0000E+0,132.2995E-9,2.0000E+0,12.7098E-12,2.0000E+0,3.2348E-12,-500.0000E-3,160.7028E-9,2.0000E+0,10.2510E-12,2.0000E+0,4.7488E-12,000.0000E-3
