Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,69.97,µm
M Cursor Width,0,µm
R Cursor Pos,30.296,µm
R Cursor Width,0,µm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,30.2964377970927 µm
R Cursor Width,0 µm
M Cursor Position,69.9695605372543 µm
M Cursor Width,0 µm


Data
Lateral(µm),Height Data(nm),,
0,593.088733206434,,
0.0111098766752567,592.899269849914,,
0.0222197533505133,592.691419411038,,
0.03332963002577,592.793722499453,,
0.0444395067010266,592.806791303256,,
0.0555493833762833,592.655049077492,,
0.0666592600515399,592.593423816439,,
0.0777691367267966,592.592459029798,,
0.0888790134020533,592.661858510138,,
0.0999888900773099,592.677892189403,,
0.111098766752567,592.557095361734,,
0.122208643427823,592.650230890557,,
0.13331852010308,592.885661735727,,
0.144428396778337,592.711428406354,,
0.155538273453593,592.926914343243,,
0.16664815012885,593.059697949074,,
0.177758026804107,592.966519822847,,
0.188867903479363,592.935807739473,,
0.19997778015462,593.058816001609,,
0.211087656829876,592.984652225341,,
0.222197533505133,593.223864732311,,
0.23330741018039,593.225000381017,,
0.244417286855646,592.923235058905,,
0.255527163530903,593.131253008868,,
0.26663704020616,593.241447400885,,
0.277746916881416,592.96741504627,,
0.288856793556673,592.822641138617,,
0.29996667023193,592.910210433258,,
0.311076546907186,592.863551848921,,
0.322186423582443,592.961348197221,,
0.3332963002577,592.925415297307,,
0.344406176932956,592.716579385576,,
0.355516053608213,592.964974948478,,
0.36662593028347,593.082933687205,,
0.377735806958726,592.852550305306,,
0.388845683633983,593.149997965018,,
0.39995556030924,593.280707542228,,
0.411065436984496,592.964357647167,,
0.422175313659753,593.042805415243,,
0.43328519033501,593.183331278073,,
0.444395067010266,593.084668713836,,
0.455504943685523,593.102053885532,,
0.46661482036078,593.039768835835,,
0.477724697036036,593.059586760484,,
0.488834573711293,593.198712617097,,
0.49994445038655,592.864555697644,,
0.511054327061806,592.697155033245,,
0.522164203737063,593.001426636187,,
0.533274080412319,592.972063573593,,
0.544383957087576,592.693911615367,,
0.555493833762833,592.700617715167,,
0.56660371043809,592.822368406074,,
