Meta Data
Label,Value,


Analytical Results
Table: General
Label,Value,Units
M Cursor Pos,86.096,µm
M Cursor Width,0,µm
R Cursor Pos,45.208,µm
R Cursor Width,0,µm
Type,Two-Points Cursors,


Data Leveling Position
R Cursor Position,45.2079898914327 µm
R Cursor Width,0 µm
M Cursor Position,86.0960228114252 µm
M Cursor Width,0 µm


Data
Lateral(µm),Height Data(nm),,
0,-84.4058216555964,,
0.0111086425082943,-84.3892417089573,,
0.0222172850165886,-84.3691952659413,,
0.0333259275248829,-84.3965046569558,,
0.0444345700331772,-84.6238409445199,,
0.0555432125414715,-84.5604248181122,,
0.0666518550497659,-84.4005288056751,,
0.0777604975580602,-84.4606766901279,,
0.0888691400663545,-84.600923225604,,
0.0999777825746488,-84.4569331816711,,
0.111086425082943,-84.5851242309071,,
0.122195067591237,-84.6017965069895,,
0.133303710099532,-84.7158392268891,,
0.144412352607826,-85.1976950841699,,
0.15552099511612,-84.9487024310631,,
0.166629637624415,-84.7138222405686,,
0.177738280132709,-85.0054054393257,,
0.188846922641003,-84.9652407019548,,
0.199955565149298,-84.6216462198747,,
0.211064207657592,-84.8280339117117,,
0.222172850165886,-84.8633899014575,,
0.23328149267418,-84.6660525917476,,
0.244390135182475,-84.7770543040212,,
0.255498777690769,-84.7034010452627,,
0.266607420199063,-84.5105602116792,,
0.277716062707358,-84.618343433428,,
0.288824705215652,-84.6973261197317,,
0.299933347723946,-84.7152638064156,,
0.311041990232241,-84.8424962663876,,
0.322150632740535,-84.7233816271556,,
0.333259275248829,-84.4684518136486,,
0.344367917757124,-84.7590959936422,,
0.355476560265418,-85.0214623378776,,
0.366585202773712,-84.6578934280385,,
0.377693845282007,-84.6440827710856,,
0.388802487790301,-84.827818837913,,
0.399911130298595,-84.6647091785803,,
0.411019772806889,-84.8934405507387,,
0.422128415315184,-85.0008842630119,,
0.433237057823478,-84.6038897362634,,
0.444345700331772,-84.6299401920203,,
0.455454342840067,-84.673597820632,,
0.466562985348361,-84.361162081914,,
0.477671627856655,-84.6270449292447,,
0.48878027036495,-84.8093206794796,,
0.499888912873244,-84.6292524967483,,
0.510997555381538,-84.8265476779857,,
0.522106197889833,-84.9707402491869,,
0.533214840398127,-84.7707925949287,,
0.544323482906421,-84.8140481697565,,
0.555432125414715,-84.8037985665153,,
0.56654076792301,-84.4294310205521,,
0.577649410431304,-84.5897498684962,,
0.588758052939598,-84.6272349435969,,
0.599866695447893,-84.2867602651721,,
0.610975337956187,-84.3142275045442,,
0.622083980464481,-84.5828617339671,,
0.633192622972776,-84.5271979804738,,
0.64430126548107,-84.4868131913565,,
0.655409907989364,-84.6576624524777,,
0.666518550497659,-84.6904376559427,,
0.677627193005953,-84.8576523516645,,
0.688735835514247,-85.0387834513472,,
0.699844478022541,-84.9153607413517,,
0.710953120530836,-84.9944086830626,,
0.72206176303913,-85.1301691526374,,
0.733170405547424,-85.0570293329091,,
0.744279048055719,-85.0612649793496,,
0.755387690564013,-85.066302675261,,
0.766496333072307,-85.0142626432554,,
0.777604975580602,-84.8469340109263,,
0.788713618088896,-85.0156134994627,,
0.79982226059719,-84.9502381486581,,
0.810930903105485,-85.0131789160451,,
0.822039545613779,-84.9577302834448,,
0.833148188122073,-84.6957102905551,,
0.844256830630367,-84.6441666632283,,
0.855365473138662,-84.7029219078578,,
0.866474115646956,-84.6867843301815,,
0.87758275815525,-84.6874053782777,,
0.888691400663545,-84.6375715816364,,
0.899800043171839,-84.4579279816002,,
0.910908685680133,-84.6852348083304,,
0.922017328188428,-84.9305190429196,,
0.933125970696722,-84.6710505313722,,
0.944234613205016,-84.953258371409,,
0.955343255713311,-85.0042504083308,,
0.966451898221605,-84.675828295049,,
0.977560540729899,-84.9911473169171,,
0.988669183238194,-85.3089067236536,,
0.999777825746488,-84.8865636479615,,
1.01088646825478,-85.0146154077525,,
1.02199511076308,-85.0167013880326,,
1.03310375327137,-84.8058648307115,,
1.04421239577967,-85.0822898477653,,
1.05532103828796,-85.0242788603114,,
1.06642968079625,-84.8732978413072,,
1.07753832330455,-85.2804352530233,,
1.08864696581284,-85.2963077595003,,
1.09975560832114,-84.8921485256618,,
1.11086425082943,-85.1421905064117,,
1.12197289333773,-85.1790986488217,,
1.13308153584602,-84.8725890792465,,
1.14419017835431,-85.0402182931926,,
1.15529882086261,-85.1281416608362,,
1.1664074633709,-85.1148027184645,,
1.1775161058792,-85.3596435580484,,
1.18862474838749,-85.342326736825,,
1.19973339089579,-85.2098059137968,,
1.21084203340408,-85.3982194884189,,
1.22195067591237,-85.3599050263967,,
1.23305931842067,-85.2109705939242,,
1.24416796092896,-85.3546601906853,,
